broodYr,retYr,System,fwAge,oAge,ret
1961,1963,Kvichak,0,1,0
1960,1963,Kvichak,0,2,0
1959,1963,Kvichak,0,3,0
1958,1963,Kvichak,0,4,0
1957,1963,Kvichak,0,5,0
1960,1963,Kvichak,1,1,0
1959,1963,Kvichak,1,2,236513.573980611
1958,1963,Kvichak,1,3,32838.213624788
1957,1963,Kvichak,1,4,1413.21610244131
1956,1963,Kvichak,1,5,0
1959,1963,Kvichak,2,1,950.676473559803
1958,1963,Kvichak,2,2,139962.01179751
1957,1963,Kvichak,2,3,203660.860328176
1956,1963,Kvichak,2,4,0
1958,1963,Kvichak,3,1,0
1957,1963,Kvichak,3,2,1.21345400704761e-9
1956,1963,Kvichak,3,3,1.82019968594032e-9
1955,1963,Kvichak,3,4,0
1962,1964,Kvichak,0,1,0
1961,1964,Kvichak,0,2,1601.85355859636
1960,1964,Kvichak,0,3,0
1959,1964,Kvichak,0,4,0
1958,1964,Kvichak,0,5,0
1961,1964,Kvichak,1,1,0
1960,1964,Kvichak,1,2,1017276.97189771
1959,1964,Kvichak,1,3,0.036439995883634
1958,1964,Kvichak,1,4,6053.0501824394
1957,1964,Kvichak,1,5,0
1960,1964,Kvichak,2,1,889149.068436662
1959,1964,Kvichak,2,2,208488.974788941
1958,1964,Kvichak,2,3,59115.1050911245
1957,1964,Kvichak,2,4,0
1959,1964,Kvichak,3,1,0
1958,1964,Kvichak,3,2,1.14348973273215e-4
1957,1964,Kvichak,3,3,1.36280184822047e-4
1956,1964,Kvichak,3,4,0
1963,1965,Kvichak,0,1,0
1962,1965,Kvichak,0,2,0
1961,1965,Kvichak,0,3,6.47310735282323e-9
1960,1965,Kvichak,0,4,0
1959,1965,Kvichak,0,5,0
1962,1965,Kvichak,1,1,6.47348116358768e-9
1961,1965,Kvichak,1,2,415244.555149864
1960,1965,Kvichak,1,3,456190.02356775303
1959,1965,Kvichak,1,4,6.47313449512368e-9
1958,1965,Kvichak,1,5,0
1961,1965,Kvichak,2,1,1.61837029032427e-8
1960,1965,Kvichak,2,2,47748182.6637247
1959,1965,Kvichak,2,3,5451.3745559352
1958,1965,Kvichak,2,4,0
1960,1965,Kvichak,3,1,0
1959,1965,Kvichak,3,2,2236.30525519212
1958,1965,Kvichak,3,3,6.47310735282323e-9
1957,1965,Kvichak,3,4,0
1964,1966,Kvichak,0,1,0
1963,1966,Kvichak,0,2,0
1962,1966,Kvichak,0,3,2.70892459800045e-9
1961,1966,Kvichak,0,4,0
1960,1966,Kvichak,0,5,0
1963,1966,Kvichak,1,1,0
1962,1966,Kvichak,1,2,107816.714581953
1961,1966,Kvichak,1,3,201592.688239951
1960,1966,Kvichak,1,4,3127.99967308029
1959,1966,Kvichak,1,5,0
1962,1966,Kvichak,2,1,1970.00989565672
1961,1966,Kvichak,2,2,2307308.59107592
1960,1966,Kvichak,2,3,6282091.61688481
1959,1966,Kvichak,2,4,4.50190478308668e-9
1961,1966,Kvichak,3,1,0
1960,1966,Kvichak,3,2,11625.3620489818
1959,1966,Kvichak,3,3,7.22379892646574e-9
1958,1966,Kvichak,3,4,0
1965,1967,Kvichak,0,1,0
1964,1967,Kvichak,0,2,0
1963,1967,Kvichak,0,3,606.383941440542
1962,1967,Kvichak,0,4,0
1961,1967,Kvichak,0,5,0
