Year,Total Pink Salmon Adult Return Biomass (mt),Total Sockeye Salmon Adult Return Biomass (mt),Total Alaskan Sockeye Salmon Adult Return Biomass (mt)
1952,319970.2876,113117.3129,80519.79797
1953,552675.4487,98544.81983,50151.2616
1954,286501.9505,121743.1203,44750.7401
1955,476719.2539,96482.6505,40350.29153
1956,406841.0987,139396.4481,85700.6162
1957,566397.0584,128748.2644,64804.44597
1958,290152.9338,134783.868,31960.28371
1959,363887.2804,115510.7654,50602.71398
1960,188699.3624,167468.8889,106035.8987
1961,320847.1034,156346.2704,85993.76232
1962,261130.2102,120648.1742,51517.76237
1963,356067.7383,94856.81554,36164.39829
1964,224239.0281,95897.34866,47556.97652
1965,312951.4926,187476.2262,146578.8383
1966,273010.9161,140369.4109,82759.25762
1967,282005.2532,123460.1504,55325.81256
1968,259553.1054,124046.9472,49565.65702
1969,359290.2477,119833.87,75200.01887
1970,212156.7726,188032.8449,134096.6308
1971,317793.316,181781.7377,74912.59449
1972,187207.5776,85588.99019,39422.35415
1973,225402.197,102795.3101,34537.59658
1974,197811.736,118194.7621,52113.97003
1975,328897.3084,115812.9435,81098.59241
1976,295166.8002,106787.8314,70116.24345
1977,397046.0682,125276.8839,76765.25375
1978,321426.4339,156505.8735,98825.89611
1979,450338.7399,195104.2054,147088.4195
1980,343088.0027,236026.2536,201622.6726
1981,463997.9491,207378.6128,147719.5168
1982,312488.0326,213046.399,127056.9759
1983,564974.3189,225779.4632,176480.3572
1984,432090.1644,207046.0054,160326.1107
1985,462143.3936,230264.4032,149324.6722
1986,391791.1072,204952.4556,126520.0054
1987,402442.4501,214918.3271,154562.263
1988,309049.2261,172102.7316,122801.388
1989,521486.0025,249934.48,176724.6928
1990,424670.9375,281007.9716,187669.7392
1991,616159.8332,246785.9399,176469.1411
1992,404142.7987,268515.9751,203325.3203
1993,533588.0314,323091.5363,210698.5107
1994,602884.7112,274910.6768,190971.3465
1995,642597.7775,274073.4546,217761.9119
1996,605088.1177,253172.0769,185861.4609
1997,603084.455,192165.4638,118094.273
1998,626879.1419,148521.8084,92618.82975
1999,642258.0539,207139.9906,171064.2824
2000,556105.4469,198267.8693,140190.8205
2001,582168.4283,187589.8035,125212.5127
2002,589334.8887,198986.1141,100257.8896
2003,692026.1975,196453.8591,141146.7696
2004,596337.372,234599.9701,179524.6109
2005,851783.37,238179.5452,177210.2558
2006,522116.1698,232408.6615,152595.403
2007,814709.5578,226739.1513,163956.3652
2008,514025.1356,195116.0602,142140.726
2009,896041.8001,202662.6567,153822.9606
2010,644968.1412,274722.1704,148175.8546
2011,861930.828,220808.6434,154126.3272
2012,619896.9295,206462.0311,138771.5881
2013,808599.4389,198265.4566,125435.2297
2014,527736.8656,270751.0579,161163.8907
2015,800530.1169,268061.3851,204566.301
