ret_yr,system,model_type,1.2,1.3,2.2,2.3,Totals
2021,Egegik,rand_forest,3044738897,5039197909,2349500854,1098307821,11531745481
2021,Egegik,boost_tree,3698580933,3866565552,2714172363,527693253,10807012100
2021,Igushik,rand_forest,517493189,1099028817,6395108,8806516,1631723631
2021,Igushik,boost_tree,633276596,1131142197,5361294,-17117498,1752662588
2021,Kvichak,rand_forest,3471669822,3085862242,334325158,154643833,7046501056
2021,Kvichak,boost_tree,3204363098,3863330078,137859659,-158451767,7047101068
2021,Naknek,rand_forest,2864090123,4060353014,314267287,350397265,7589107689
2021,Naknek,boost_tree,2917513123,4344395447,308543091,324935646,7895387306
2021,Nushagak,rand_forest,1425035650,4317853274,20109310,47370451,5810368685
2021,Nushagak,boost_tree,1114477005,4157601013,-28744977,39388912,5282721953
2021,Ugashik,rand_forest,2663748141,1806343113,514953208,93803360,5078847822
2021,Ugashik,boost_tree,2800272217,2173438721,846091385,84614849,5904417171
2021,Wood,rand_forest,10236776875,2829138907,87851060,38060482,13191827325
2021,Wood,boost_tree,7671634521,3137601013,-36052518,19783050,10792966067
2020,Egegik,rand_forest,3532287037,2097716514,2717310841,1354498822,9701813215
2020,Egegik,boost_tree,2166182098,1822413025,2453511200,755826874,7197933197
2020,Igushik,rand_forest,528150243,984376136,18198531,11157865,1541882774
2020,Igushik,boost_tree,601480293,792375946,11508272,16493104,1421857615
2020,Kvichak,rand_forest,4305091941,2528378245,1032456389,335426592,8201353167
2020,Kvichak,boost_tree,3026417542,2528839417,3700538025,0,9255794983
2020,Naknek,rand_forest,2837336876,3385790634,410893040,346091102,6980111652
2020,Naknek,boost_tree,2127280884,3574158325,303781967,305053825,6310275002
2020,Nushagak,rand_forest,752257746,4135062374,71938013,60212074,5019470206
2020,Nushagak,boost_tree,697271194,5712987671,219722729,56932626,6686914220
2020,Ugashik,rand_forest,2342474557,1786296254,454737724,67027113,4650535647
2020,Ugashik,boost_tree,2810358276,1422576447,149303026,0,4382237749
2020,Wood,rand_forest,6705965008,3186744105,222634052,57315204,10172658369
2020,Wood,boost_tree,4655022583,3481286926,249653397,0,8385962906
2019,Egegik,rand_forest,2051973264,2165125943,3041592138,1964042344,9222733688
2019,Egegik,boost_tree,2502347717,1940525970,2994682617,1192268448,8629824753
2019,Igushik,rand_forest,620295833,1158882459,21559612,12036285,1812774190
2019,Igushik,boost_tree,760626678,1077362137,59999,0,1838048815
2019,Kvichak,rand_forest,3567656054,2573117827,2248749817,365827598,8755351296
2019,Kvichak,boost_tree,2749564514,2649993896,6173386230,125832081,11698776722
2019,Naknek,rand_forest,2614952863,3237520001,428444724,422274179,6703191768
2019,Naknek,boost_tree,2870118103,3079027405,447249603,374386292,6770781403
2019,Nushagak,rand_forest,1540188469,5218701599,37347736,40174097,6836411900
2019,Nushagak,boost_tree,1611676483,5947186890,33420522,36689911,7628973806
2019,Ugashik,rand_forest,2494231241,1808098091,430901912,97790264,4831021508
