model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
rand_forest,1985,1990,Egegik,2_2,4020.18286056915,2128.329240059584
boost_tree,1985,1990,Egegik,2_2,4020.18286056915,1376.659870147705
rand_forest,1986,1991,Egegik,2_2,4062.14544830156,2441.42451531609
boost_tree,1986,1991,Egegik,2_2,4062.14544830156,2404.2782187461853
rand_forest,1987,1992,Egegik,2_2,8870.95678766811,3056.8982086010283
boost_tree,1987,1992,Egegik,2_2,8870.95678766811,4274.225831031799
rand_forest,1988,1993,Egegik,2_2,11121.3183761393,4414.8286464979665
boost_tree,1988,1993,Egegik,2_2,11121.3183761393,5387.400388717651
rand_forest,1989,1994,Egegik,2_2,5179.38621914642,6263.355165988628
boost_tree,1989,1994,Egegik,2_2,5179.38621914642,7342.884540557861
rand_forest,1990,1995,Egegik,2_2,8809.8546504351,7052.181674715386
boost_tree,1990,1995,Egegik,2_2,8809.8546504351,9474.271535873413
rand_forest,1991,1996,Egegik,2_2,3223.46605149961,6138.915234140284
boost_tree,1991,1996,Egegik,2_2,3223.46605149961,6180.353760719299
rand_forest,1992,1997,Egegik,2_2,4580.34254383062,6631.64714565874
boost_tree,1992,1997,Egegik,2_2,4580.34254383062,8515.433073043823
rand_forest,1993,1998,Egegik,2_2,800.145243182579,4487.676338465914
boost_tree,1993,1998,Egegik,2_2,800.145243182579,4830.223917961121
rand_forest,1994,1999,Egegik,2_2,3805.46874727158,7256.176277741929
boost_tree,1994,1999,Egegik,2_2,3805.46874727158,9016.296863555908
rand_forest,1995,2000,Egegik,2_2,1726.75027502771,3524.2753355531377
boost_tree,1995,2000,Egegik,2_2,1726.75027502771,3663.104772567749
rand_forest,1996,2001,Egegik,2_2,542.540181669639,3316.8903845173463
boost_tree,1996,2001,Egegik,2_2,542.540181669639,3482.1146726608276
rand_forest,1997,2002,Egegik,2_2,3493.43096881301,3493.867156890788
boost_tree,1997,2002,Egegik,2_2,3493.43096881301,3459.460735321045
rand_forest,1998,2003,Egegik,2_2,490.761355957571,3414.9031498677514
boost_tree,1998,2003,Egegik,2_2,490.761355957571,1075.2874612808228
rand_forest,1999,2004,Egegik,2_2,9206.9936917785,5044.561802031605
boost_tree,1999,2004,Egegik,2_2,9206.9936917785,4853.977859020233
rand_forest,2000,2005,Egegik,2_2,3546.27131298221,2978.233543450487
boost_tree,2000,2005,Egegik,2_2,3546.27131298221,3702.523112297058
rand_forest,2001,2006,Egegik,2_2,1585.9566102893898,3236.0805029142725
boost_tree,2001,2006,Egegik,2_2,1585.9566102893898,3966.1818742752075
rand_forest,2002,2007,Egegik,2_2,1050.68228676067,2869.7989192915784
boost_tree,2002,2007,Egegik,2_2,1050.68228676067,2918.303608894348
rand_forest,2003,2008,Egegik,2_2,1926.40878969996,2480.6272521314318
boost_tree,2003,2008,Egegik,2_2,1926.40878969996,3558.354377746582
rand_forest,2004,2009,Egegik,2_2,6022.979238819169,2676.7158955955874
boost_tree,2004,2009,Egegik,2_2,6022.979238819169,2036.081850528717
