model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
rand_forest,1985,1990,Egegik,2_2,4020.18286056915,2087.8575197113064
boost_tree,1985,1990,Egegik,2_2,4020.18286056915,1850.8195877075195
rand_forest,1986,1991,Egegik,2_2,4062.14544830156,2467.44905898818
boost_tree,1986,1991,Egegik,2_2,4062.14544830156,1562.2884035110474
rand_forest,1987,1992,Egegik,2_2,8870.95678766811,2933.378351813728
boost_tree,1987,1992,Egegik,2_2,8870.95678766811,3529.8925638198853
rand_forest,1988,1993,Egegik,2_2,11121.3183761393,4747.183174747558
boost_tree,1988,1993,Egegik,2_2,11121.3183761393,5407.365560531616
rand_forest,1989,1994,Egegik,2_2,5179.38621914642,6111.989266202573
boost_tree,1989,1994,Egegik,2_2,5179.38621914642,9132.99560546875
rand_forest,1990,1995,Egegik,2_2,8809.8546504351,6762.541463551673
boost_tree,1990,1995,Egegik,2_2,8809.8546504351,7202.45361328125
rand_forest,1991,1996,Egegik,2_2,3223.46605149961,6245.034350157912
boost_tree,1991,1996,Egegik,2_2,3223.46605149961,7817.104458808899
rand_forest,1992,1997,Egegik,2_2,4580.34254383062,6747.606110423986
boost_tree,1992,1997,Egegik,2_2,4580.34254383062,4623.399078845978
rand_forest,1993,1998,Egegik,2_2,800.145243182579,4493.348780482318
boost_tree,1993,1998,Egegik,2_2,800.145243182579,5286.62383556366
rand_forest,1994,1999,Egegik,2_2,3805.46874727158,7003.188459767901
boost_tree,1994,1999,Egegik,2_2,3805.46874727158,6007.316112518311
rand_forest,1995,2000,Egegik,2_2,1726.75027502771,3421.3915898653618
boost_tree,1995,2000,Egegik,2_2,1726.75027502771,2913.779616355896
rand_forest,1996,2001,Egegik,2_2,542.540181669639,3061.851196068479
boost_tree,1996,2001,Egegik,2_2,542.540181669639,1419.7033643722534
rand_forest,1997,2002,Egegik,2_2,3493.43096881301,3345.3276365215665
boost_tree,1997,2002,Egegik,2_2,3493.43096881301,2660.3466272354126
rand_forest,1998,2003,Egegik,2_2,490.761355957571,3147.5020137848765
boost_tree,1998,2003,Egegik,2_2,490.761355957571,2780.631184577942
rand_forest,1999,2004,Egegik,2_2,9206.9936917785,5104.337620771064
boost_tree,1999,2004,Egegik,2_2,9206.9936917785,2719.319760799408
rand_forest,2000,2005,Egegik,2_2,3546.27131298221,2837.778162869978
boost_tree,2000,2005,Egegik,2_2,3546.27131298221,2611.241042613983
rand_forest,2001,2006,Egegik,2_2,1585.9566102893898,2928.376973734534
boost_tree,2001,2006,Egegik,2_2,1585.9566102893898,3822.510838508606
rand_forest,2002,2007,Egegik,2_2,1050.68228676067,2732.4647892132584
boost_tree,2002,2007,Egegik,2_2,1050.68228676067,2392.282485961914
rand_forest,2003,2008,Egegik,2_2,1926.40878969996,2790.760926279595
boost_tree,2003,2008,Egegik,2_2,1926.40878969996,4622.85041809082
rand_forest,2004,2009,Egegik,2_2,6022.979238819169,2656.612270411245
boost_tree,2004,2009,Egegik,2_2,6022.979238819169,4087.3265266418457
rand_forest,2005,2010,Egegik,2_2,2866.20143686753,2597.3278289317855
boost_tree,2005,2010,Egegik,2_2,2866.20143686753,972.0852971076965
rand_forest,2006,2011,Egegik,2_2,1632.02724427534,7345.692967516769
boost_tree,2006,2011,Egegik,2_2,1632.02724427534,6268.489956855774
rand_forest,2007,2012,Egegik,2_2,3376.16128927992,5063.037745020843
boost_tree,2007,2012,Egegik,2_2,3376.16128927992,5326.170921325684
rand_forest,2008,2013,Egegik,2_2,1104.56344686744,3247.5339329109415
boost_tree,2008,2013,Egegik,2_2,1104.56344686744,3626.7495155334473
rand_forest,2009,2014,Egegik,2_2,2761.97078143254,3699.1340541321
boost_tree,2009,2014,Egegik,2_2,2761.97078143254,4272.982478141785
rand_forest,2010,2015,Egegik,2_2,5985.04356346989,2945.1340655992426
boost_tree,2010,2015,Egegik,2_2,5985.04356346989,2818.5224533081055
rand_forest,2011,2016,Egegik,2_2,3901.9376373978,3805.4628762179177
boost_tree,2011,2016,Egegik,2_2,3901.9376373978,2878.349721431732
rand_forest,2012,2017,Egegik,2_2,4775.92540722803,3488.6290764346318
boost_tree,2012,2017,Egegik,2_2,4775.92540722803,2897.4759578704834
rand_forest,2013,2018,Egegik,2_2,467.779846009373,3308.071449081446
boost_tree,2013,2018,Egegik,2_2,467.779846009373,2931.63001537323
rand_forest,2014,2019,Egegik,2_2,1280.10078152867,3023.0946883056113
boost_tree,2014,2019,Egegik,2_2,1280.10078152867,3276.243805885315
rand_forest,1985,1990,Igushik,2_2,50.115516454388,52.03581609478477
boost_tree,1985,1990,Igushik,2_2,50.115516454388,57.328641414642334
rand_forest,1986,1991,Igushik,2_2,9.44527791610853,57.04982741036921
boost_tree,1986,1991,Igushik,2_2,9.44527791610853,57.07055330276489
rand_forest,1987,1992,Igushik,2_2,2.14456089346305,55.51334041287088
boost_tree,1987,1992,Igushik,2_2,2.14456089346305,55.42784929275513
rand_forest,1988,1993,Igushik,2_2,5.733940598463,131.83583086603102
boost_tree,1988,1993,Igushik,2_2,5.733940598463,86.2547755241394
rand_forest,1989,1994,Igushik,2_2,48.4540404572186,51.568597638969194
boost_tree,1989,1994,Igushik,2_2,48.4540404572186,52.10578441619873
rand_forest,1990,1995,Igushik,2_2,95.1347841836071,52.3498962333989
boost_tree,1990,1995,Igushik,2_2,95.1347841836071,51.991939544677734
rand_forest,1991,1996,Igushik,2_2,2.06511765559716,36.970532430446156
boost_tree,1991,1996,Igushik,2_2,2.06511765559716,53.29936742782593
rand_forest,1992,1997,Igushik,2_2,5.33491141250786,99.71679729406567
boost_tree,1992,1997,Igushik,2_2,5.33491141250786,51.794350147247314
rand_forest,1993,1998,Igushik,2_2,13.7366722076451,50.241591546326696
boost_tree,1993,1998,Igushik,2_2,13.7366722076451,50.46486854553223
rand_forest,1994,1999,Igushik,2_2,42.9758617437235,39.26445627445525
boost_tree,1994,1999,Igushik,2_2,42.9758617437235,61.29920482635498
rand_forest,1995,2000,Igushik,2_2,6.53107891277216,27.40813902602642
boost_tree,1995,2000,Igushik,2_2,6.53107891277216,0.06765127182006836
rand_forest,1996,2001,Igushik,2_2,0.8073411471533369,25.336569210344855
boost_tree,1996,2001,Igushik,2_2,0.8073411471533369,0
rand_forest,1997,2002,Igushik,2_2,9.52201187852342,16.059580416035573
boost_tree,1997,2002,Igushik,2_2,9.52201187852342,0
rand_forest,1998,2003,Igushik,2_2,2.90678967415879,34.60968961120829
boost_tree,1998,2003,Igushik,2_2,2.90678967415879,22.784769535064697
rand_forest,1999,2004,Igushik,2_2,58.3924637090693,41.353368566234664
boost_tree,1999,2004,Igushik,2_2,58.3924637090693,68.10218095779419
rand_forest,2000,2005,Igushik,2_2,12.3772904288214,28.922019815016206
boost_tree,2000,2005,Igushik,2_2,12.3772904288214,7.824897766113281
rand_forest,2001,2006,Igushik,2_2,7.80161810371995,26.75801588331579
boost_tree,2001,2006,Igushik,2_2,7.80161810371995,0
rand_forest,2002,2007,Igushik,2_2,40.5684355266669,33.4040899484762
boost_tree,2002,2007,Igushik,2_2,40.5684355266669,20.706355571746826
rand_forest,2003,2008,Igushik,2_2,2.01644191043646,14.969007364003605
boost_tree,2003,2008,Igushik,2_2,2.01644191043646,7.229745388031006
rand_forest,2004,2009,Igushik,2_2,16.9992444411081,34.55840131550771
boost_tree,2004,2009,Igushik,2_2,16.9992444411081,53.80451679229736
rand_forest,2005,2010,Igushik,2_2,28.673866372149003,17.290539533859775
boost_tree,2005,2010,Igushik,2_2,28.673866372149003,10.346174240112305
rand_forest,2006,2011,Igushik,2_2,18.501216883357,57.6426112692436
boost_tree,2006,2011,Igushik,2_2,18.501216883357,49.46082830429077
rand_forest,2007,2012,Igushik,2_2,16.1280576908381,36.42598880126321
boost_tree,2007,2012,Igushik,2_2,16.1280576908381,32.40317106246948
rand_forest,2008,2013,Igushik,2_2,38.3974431203571,18.296217923318373
boost_tree,2008,2013,Igushik,2_2,38.3974431203571,18.03189516067505
rand_forest,2009,2014,Igushik,2_2,56.1127447838291,36.00852271780999
boost_tree,2009,2014,Igushik,2_2,56.1127447838291,25.857090950012207
rand_forest,2010,2015,Igushik,2_2,0.500258412644892,71.24554516176681
boost_tree,2010,2015,Igushik,2_2,0.500258412644892,78.59200239181519
rand_forest,2011,2016,Igushik,2_2,11.1645868371735,42.83478926319072
boost_tree,2011,2016,Igushik,2_2,11.1645868371735,34.93756055831909
rand_forest,2012,2017,Igushik,2_2,4.05031401456347,30.106629104407343
boost_tree,2012,2017,Igushik,2_2,4.05031401456347,29.65092658996582
rand_forest,2013,2018,Igushik,2_2,0.678267806760258,17.48830513202153
boost_tree,2013,2018,Igushik,2_2,0.678267806760258,31.85093402862549
rand_forest,2014,2019,Igushik,2_2,5.27231431997063,25.971686663215703
boost_tree,2014,2019,Igushik,2_2,5.27231431997063,20.18570899963379
rand_forest,1985,1990,Kvichak,2_2,14851.620699462599,4855.871612674093
boost_tree,1985,1990,Kvichak,2_2,14851.620699462599,3076.7109990119934
rand_forest,1986,1991,Kvichak,2_2,1539.42385730161,4062.7073311218096
boost_tree,1986,1991,Kvichak,2_2,1539.42385730161,0
rand_forest,1987,1992,Kvichak,2_2,4276.08575760363,10870.006656425137
boost_tree,1987,1992,Kvichak,2_2,4276.08575760363,17069.389820098877
rand_forest,1988,1993,Kvichak,2_2,3698.33732271235,8803.907618277384
boost_tree,1988,1993,Kvichak,2_2,3698.33732271235,8146.566152572632
rand_forest,1989,1994,Kvichak,2_2,18335.3888386841,11555.880326258097
boost_tree,1989,1994,Kvichak,2_2,18335.3888386841,13108.968734741211
rand_forest,1990,1995,Kvichak,2_2,22046.413943430896,12690.946474839393
boost_tree,1990,1995,Kvichak,2_2,22046.413943430896,17717.289924621582
rand_forest,1991,1996,Kvichak,2_2,1008.51573343956,8724.092375165106
boost_tree,1991,1996,Kvichak,2_2,1008.51573343956,8195.2667236328125
rand_forest,1992,1997,Kvichak,2_2,751.845117502997,3914.38439949015
boost_tree,1992,1997,Kvichak,2_2,751.845117502997,3077.3383378982544
rand_forest,1993,1998,Kvichak,2_2,683.9194112905151,5137.320862151753
boost_tree,1993,1998,Kvichak,2_2,683.9194112905151,1222.3365902900696
rand_forest,1994,1999,Kvichak,2_2,3920.26054867729,16200.853254837713
boost_tree,1994,1999,Kvichak,2_2,3920.26054867729,24688.706398010254
rand_forest,1995,2000,Kvichak,2_2,677.133031946363,10516.698902606411
boost_tree,1995,2000,Kvichak,2_2,677.133031946363,5444.322824478149
rand_forest,1996,2001,Kvichak,2_2,24.302420013975,3104.3831977106056
boost_tree,1996,2001,Kvichak,2_2,24.302420013975,0
rand_forest,1997,2002,Kvichak,2_2,342.016937402607,2577.4744261077526
boost_tree,1997,2002,Kvichak,2_2,342.016937402607,1686.9747638702393
rand_forest,1998,2003,Kvichak,2_2,343.819106360459,3351.160771254854
boost_tree,1998,2003,Kvichak,2_2,343.819106360459,6599.181890487671
rand_forest,1999,2004,Kvichak,2_2,5815.7723502119,7962.45588479977
boost_tree,1999,2004,Kvichak,2_2,5815.7723502119,6791.551113128662
rand_forest,2000,2005,Kvichak,2_2,742.8429904703942,5363.574218046414
boost_tree,2000,2005,Kvichak,2_2,742.8429904703942,4550.460875034332
rand_forest,2001,2006,Kvichak,2_2,819.6892132818028,2778.483306421446
boost_tree,2001,2006,Kvichak,2_2,819.6892132818028,3559.9279403686523
rand_forest,2002,2007,Kvichak,2_2,142.426304356772,2668.446078818039
boost_tree,2002,2007,Kvichak,2_2,142.426304356772,3336.0224962234497
rand_forest,2003,2008,Kvichak,2_2,31.3896418714419,2383.4772734826684
boost_tree,2003,2008,Kvichak,2_2,31.3896418714419,1517.394781112671
rand_forest,2004,2009,Kvichak,2_2,2634.42585403184,1404.5044713622808
boost_tree,2004,2009,Kvichak,2_2,2634.42585403184,689.1694664955139
rand_forest,2005,2010,Kvichak,2_2,4527.2478635668,2169.79936294878
boost_tree,2005,2010,Kvichak,2_2,4527.2478635668,1160.7176065444946
rand_forest,2006,2011,Kvichak,2_2,1197.11477601078,6822.169579816173
boost_tree,2006,2011,Kvichak,2_2,1197.11477601078,12463.02604675293
rand_forest,2007,2012,Kvichak,2_2,6972.78220281663,5271.1620834353225
boost_tree,2007,2012,Kvichak,2_2,6972.78220281663,5399.5174169540405
rand_forest,2008,2013,Kvichak,2_2,1247.52772189412,2785.956114788957
boost_tree,2008,2013,Kvichak,2_2,1247.52772189412,2368.5503005981445
rand_forest,2009,2014,Kvichak,2_2,9725.83156372782,4455.731978021602
boost_tree,2009,2014,Kvichak,2_2,9725.83156372782,2958.2732915878296
rand_forest,2010,2015,Kvichak,2_2,13231.0775150246,11208.669975895951
boost_tree,2010,2015,Kvichak,2_2,13231.0775150246,8367.02585220337
