model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
boost_tree,1995,2000,Igushik,2_2,6.53107891277216,163.60074281692505
boost_tree,1995,2000,Wood,2_2,117.39806477986,257.2733163833618
boost_tree,1995,2000,Nushagak,2_2,13.3383822432371,146.4623212814331
boost_tree,1995,2000,Kvichak,2_2,677.133031946363,3742.745518684387
boost_tree,1995,2000,Naknek,2_2,117.75399951469,890.2639150619507
boost_tree,1995,2000,Egegik,2_2,1726.75027502771,4212.595820426941
boost_tree,1995,2000,Ugashik,2_2,130.226105110663,1023.8561034202576
boost_tree,1996,2001,Igushik,2_2,0.8073411471533369,40.93438386917114
boost_tree,1996,2001,Wood,2_2,2.90044984345796,259.9683403968811
boost_tree,1996,2001,Nushagak,2_2,4.81135786109076,0
boost_tree,1996,2001,Kvichak,2_2,24.302420013975,886.3914012908936
boost_tree,1996,2001,Naknek,2_2,49.6541915278732,0
boost_tree,1996,2001,Egegik,2_2,542.540181669639,1330.4415345191956
boost_tree,1996,2001,Ugashik,2_2,31.8013042183789,636.3588571548462
boost_tree,1997,2002,Igushik,2_2,9.52201187852342,16.253292560577393
boost_tree,1997,2002,Wood,2_2,194.836391392085,24.64473247528076
boost_tree,1997,2002,Nushagak,2_2,4.07514617142039,0
boost_tree,1997,2002,Kvichak,2_2,342.016937402607,981.4903140068054
boost_tree,1997,2002,Naknek,2_2,825.499876103832,245.000422000885
boost_tree,1997,2002,Egegik,2_2,3493.43096881301,1538.9567613601685
boost_tree,1997,2002,Ugashik,2_2,1657.6380416483598,393.33581924438477
boost_tree,1998,2003,Igushik,2_2,2.90678967415879,285.57032346725464
boost_tree,1998,2003,Wood,2_2,148.016758074404,320.63156366348267
boost_tree,1998,2003,Nushagak,2_2,7.35229999281718,342.8494930267334
boost_tree,1998,2003,Kvichak,2_2,343.819106360459,2738.384008407593
boost_tree,1998,2003,Naknek,2_2,553.804850020757,608.9690327644348
boost_tree,1998,2003,Egegik,2_2,490.761355957571,1138.7023329734802
boost_tree,1998,2003,Ugashik,2_2,524.716192140516,581.1896920204163
boost_tree,1999,2004,Igushik,2_2,58.3924637090693,96.06271982192993
boost_tree,1999,2004,Wood,2_2,399.867334772937,213.9076590538025
boost_tree,1999,2004,Nushagak,2_2,13.0978758619131,0
boost_tree,1999,2004,Kvichak,2_2,5815.7723502119,8565.2494430542
boost_tree,1999,2004,Naknek,2_2,707.962310802621,1321.103572845459
boost_tree,1999,2004,Egegik,2_2,9206.9936917785,6643.115878105164
boost_tree,1999,2004,Ugashik,2_2,1185.59203660038,1901.5848636627197
boost_tree,2000,2005,Igushik,2_2,12.3772904288214,15.655159950256348
boost_tree,2000,2005,Wood,2_2,112.747788294284,19.65254545211792
boost_tree,2000,2005,Nushagak,2_2,5.16652049467201,10.302960872650146
boost_tree,2000,2005,Kvichak,2_2,742.8429904703942,441.31219387054443
boost_tree,2000,2005,Naknek,2_2,453.896901675349,53.807199001312256
boost_tree,2000,2005,Egegik,2_2,3546.27131298221,986.4449501037598
boost_tree,2000,2005,Ugashik,2_2,44.2735623076944,54.36897277832031
boost_tree,2001,2006,Igushik,2_2,7.80161810371995,0
boost_tree,2001,2006,Wood,2_2,562.702140515434,248.38000535964966
boost_tree,2001,2006,Nushagak,2_2,4.76334463212569,57.56467580795288
boost_tree,2001,2006,Kvichak,2_2,819.6892132818028,1614.6022081375122
boost_tree,2001,2006,Naknek,2_2,396.239388226401,526.6126990318298
boost_tree,2001,2006,Egegik,2_2,1585.9566102893898,1251.9243359565735
boost_tree,2001,2006,Ugashik,2_2,130.860811550997,723.4174013137817
boost_tree,2002,2007,Igushik,2_2,40.5684355266669,6.67572021484375
boost_tree,2002,2007,Wood,2_2,236.544500564186,342.0180082321167
boost_tree,2002,2007,Nushagak,2_2,30.2931040794289,76.44891738891602
boost_tree,2002,2007,Kvichak,2_2,142.426304356772,690.750777721405
boost_tree,2002,2007,Naknek,2_2,250.688439937161,715.2479887008667
boost_tree,2002,2007,Egegik,2_2,1050.68228676067,2284.0523719787598
boost_tree,2002,2007,Ugashik,2_2,305.59396403063,2091.551125049591
boost_tree,2003,2008,Igushik,2_2,2.01644191043646,1508.9547634124756
boost_tree,2003,2008,Wood,2_2,37.7414969629164,1515.6596899032593
boost_tree,2003,2008,Nushagak,2_2,1.13959102027859e-12,1509.391963481903
boost_tree,2003,2008,Kvichak,2_2,31.3896418714419,1693.0803656578064
boost_tree,2003,2008,Naknek,2_2,247.10864999513296,1935.1926445960999
boost_tree,2003,2008,Egegik,2_2,1926.40878969996,1586.8240594863892
boost_tree,2003,2008,Ugashik,2_2,35.6573612894468,1935.2129101753235
boost_tree,2004,2009,Igushik,2_2,16.9992444411081,1312.633752822876
boost_tree,2004,2009,Wood,2_2,112.868386957441,1426.0053634643555
boost_tree,2004,2009,Nushagak,2_2,5.76026466354301,1290.431022644043
boost_tree,2004,2009,Kvichak,2_2,2634.42585403184,3615.1084303855896
boost_tree,2004,2009,Naknek,2_2,979.063191611649,1790.6886339187622
boost_tree,2004,2009,Egegik,2_2,6022.979238819169,2942.989468574524
boost_tree,2004,2009,Ugashik,2_2,1238.12580100635,1825.135350227356
boost_tree,2005,2010,Igushik,2_2,28.673866372149003,61.99300289154053
boost_tree,2005,2010,Wood,2_2,235.871353075303,234.25370454788208
boost_tree,2005,2010,Nushagak,2_2,8.74768063347035,30.410587787628174
boost_tree,2005,2010,Kvichak,2_2,4527.2478635668,1008.1037878990173
boost_tree,2005,2010,Naknek,2_2,801.427187885937,661.0095500946045
boost_tree,2005,2010,Egegik,2_2,2866.20143686753,2773.7122774124146
boost_tree,2005,2010,Ugashik,2_2,1174.2152155265,47.20121622085571
boost_tree,2006,2011,Igushik,2_2,18.501216883357,1147.0812559127808
boost_tree,2006,2011,Wood,2_2,185.856810906484,2495.284378528595
boost_tree,2006,2011,Nushagak,2_2,5.28221390168137,1136.8688941001892
boost_tree,2006,2011,Kvichak,2_2,1197.11477601078,3829.953670501709
boost_tree,2006,2011,Naknek,2_2,717.671066216282,1601.6322374343872
boost_tree,2006,2011,Egegik,2_2,1632.02724427534,3383.477032184601
boost_tree,2006,2011,Ugashik,2_2,935.099166455408,1617.981195449829
