model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
rnn,1995,2000,Egegik,1_3,2696.12358303612,3286.1313223838806
rnn,1995,2000,Igushik,1_3,881.255914116359,503.2500624656677
rnn,1995,2000,Kvichak,1_3,2098.0556476268,2309.4849288463593
rnn,1995,2000,Naknek,1_3,3130.74532811901,5447.058081626892
rnn,1995,2000,Nushagak,1_3,925.44881908919,554.4497072696686
rnn,1995,2000,Ugashik,1_3,1732.03486209766,1665.6386852264404
rnn,1995,2000,Wood,1_3,3217.0870279288697,1888.8609111309052
rnn,1996,2001,Egegik,1_3,1386.36608215562,512.7955600619316
rnn,1996,2001,Igushik,1_3,800.392988632161,0
rnn,1996,2001,Kvichak,1_3,1651.8177864150703,98.64214807748795
rnn,1996,2001,Naknek,1_3,5591.15433758177,842.8955078125
rnn,1996,2001,Nushagak,1_3,1857.2412856885,235.26012897491455
rnn,1996,2001,Ugashik,1_3,1050.8333022563,722.8680700063705
rnn,1996,2001,Wood,1_3,4383.74544721192,1947.6841390132904
rnn,1997,2002,Egegik,1_3,177.854741528293,81.0074433684349
rnn,1997,2002,Igushik,1_3,51.66832987016989,359.34463143348694
rnn,1997,2002,Kvichak,1_3,140.515836672732,283.66340324282646
rnn,1997,2002,Naknek,1_3,899.635540323144,417.97660291194916
rnn,1997,2002,Nushagak,1_3,423.104905511225,466.364249587059
rnn,1997,2002,Ugashik,1_3,647.818202319307,1.6140565276145935
rnn,1997,2002,Wood,1_3,584.427046511976,1205.1451206207275
rnn,1998,2003,Egegik,1_3,76.4336324749365,0
rnn,1998,2003,Igushik,1_3,393.266109393025,0
rnn,1998,2003,Kvichak,1_3,422.187106522037,50.54626613855362
rnn,1998,2003,Naknek,1_3,1957.15353190854,900.329053401947
rnn,1998,2003,Nushagak,1_3,2237.86876198425,0
rnn,1998,2003,Ugashik,1_3,302.211294523464,255.08146733045578
rnn,1998,2003,Wood,1_3,3535.6823544722606,1736.6991937160492
rnn,1999,2004,Egegik,1_3,395.979776102227,188.36203962564468
rnn,1999,2004,Igushik,1_3,146.839968080134,94.76710110902786
rnn,1999,2004,Kvichak,1_3,278.781842750109,0
rnn,1999,2004,Naknek,1_3,1388.57877652449,1344.8385894298553
rnn,1999,2004,Nushagak,1_3,1540.40264509258,0
rnn,1999,2004,Ugashik,1_3,907.85114741791,1120.249629020691
rnn,1999,2004,Wood,1_3,2609.4754126986295,2186.0887110233307
rnn,2000,2005,Egegik,1_3,2432.55443428977,1765.7586932182312
rnn,2000,2005,Igushik,1_3,660.5463414763641,395.19302546977997
rnn,2000,2005,Kvichak,1_3,1264.56700289689,263.9951556921005
rnn,2000,2005,Naknek,1_3,6824.90877785729,3679.7237396240234
rnn,2000,2005,Nushagak,1_3,3299.2198346689797,0
rnn,2000,2005,Ugashik,1_3,2342.56706618587,2093.856632709503
rnn,2000,2005,Wood,1_3,3230.09422067033,3599.652647972107
rnn,2001,2006,Egegik,1_3,797.157916885736,0
rnn,2001,2006,Igushik,1_3,442.819634474873,164.95022922754288
rnn,2001,2006,Kvichak,1_3,2051.09847023304,146.42253518104553
rnn,2001,2006,Naknek,1_3,2926.49329707033,745.7879930734634
rnn,2001,2006,Nushagak,1_3,2113.32508612488,0
rnn,2001,2006,Ugashik,1_3,1437.9120884613803,577.266737818718
rnn,2001,2006,Wood,1_3,5495.80117948832,1767.0564353466034
rnn,2002,2007,Egegik,1_3,2203.10766731632,1674.351990222931
rnn,2002,2007,Igushik,1_3,202.31346825446596,0
rnn,2002,2007,Kvichak,1_3,1265.2470236775102,419.52937841415405
rnn,2002,2007,Naknek,1_3,3683.6756780987603,4949.33694601059
rnn,2002,2007,Nushagak,1_3,1763.5077178889603,0
rnn,2002,2007,Ugashik,1_3,2167.49285111855,1367.2518730163574
rnn,2002,2007,Wood,1_3,2121.06295633507,3169.161081314087
rnn,2003,2008,Egegik,1_3,2551.65384329518,3786.5817546844482
rnn,2003,2008,Igushik,1_3,1273.52914699582,829.8461139202118
rnn,2003,2008,Kvichak,1_3,1186.1805065656,2551.337778568268
rnn,2003,2008,Naknek,1_3,7547.53538394196,7239.646911621094
rnn,2003,2008,Nushagak,1_3,1542.62200735137,0
rnn,2003,2008,Ugashik,1_3,1532.34598944904,2432.7434599399567
rnn,2003,2008,Wood,1_3,2810.30786757518,3309.687077999115
rnn,2004,2009,Egegik,1_3,3459.26592735207,3620.368540287018
rnn,2004,2009,Igushik,1_3,1202.30941578869,983.7990999221802
rnn,2004,2009,Kvichak,1_3,2931.1637992824903,1530.96541762352
rnn,2004,2009,Naknek,1_3,1652.17279248148,4367.629885673523
rnn,2004,2009,Nushagak,1_3,1474.12386197733,0
rnn,2004,2009,Ugashik,1_3,1594.09232397385,3145.579695701599
rnn,2004,2009,Wood,1_3,3867.60264820086,4049.631357192993
rnn,2005,2010,Egegik,1_3,202.329242340627,0
rnn,2005,2010,Igushik,1_3,1169.82240676128,0
rnn,2005,2010,Kvichak,1_3,2033.4474117072502,0
rnn,2005,2010,Naknek,1_3,2255.79484990553,2095.935195684433
rnn,2005,2010,Nushagak,1_3,975.33819625788,0
rnn,2005,2010,Ugashik,1_3,2314.05032215778,0
rnn,2005,2010,Wood,1_3,3860.07930013579,2178.5426139831543
rnn,2006,2011,Egegik,1_3,253.93580865245,405.627004802227
rnn,2006,2011,Igushik,1_3,782.302549399953,777.1559059619904
rnn,2006,2011,Kvichak,1_3,2701.9971698060394,0
rnn,2006,2011,Naknek,1_3,1928.2481182961,3068.1511759757996
rnn,2006,2011,Nushagak,1_3,1017.2136463072901,0
rnn,2006,2011,Ugashik,1_3,1077.43577034226,0
rnn,2006,2011,Wood,1_3,3188.31758366476,2765.096127986908
rnn,2007,2012,Egegik,1_3,429.303381286117,0
rnn,2007,2012,Igushik,1_3,422.8332093667469,0
rnn,2007,2012,Kvichak,1_3,1852.3641920129703,0
rnn,2007,2012,Naknek,1_3,1538.88490400028,2569.476366043091
rnn,2007,2012,Nushagak,1_3,750.2915287126789,0
rnn,2007,2012,Ugashik,1_3,929.949659984446,0
rnn,2007,2012,Wood,1_3,1144.81584442661,1209.3444168567657
rnn,2008,2013,Egegik,1_3,1090.63651110288,566.1054328083992
rnn,2008,2013,Igushik,1_3,513.077366998821,223.82177412509918
rnn,2008,2013,Kvichak,1_3,1930.8471095213301,162.5990867614746
rnn,2008,2013,Naknek,1_3,1594.8960582041,1079.9646377563477
rnn,2008,2013,Nushagak,1_3,1834.25407695218,0
rnn,2008,2013,Ugashik,1_3,1728.70502348764,962.4361991882324
rnn,2008,2013,Wood,1_3,1776.27349699445,2390.744388103485
rnn,2009,2014,Egegik,1_3,488.70449355940804,0
rnn,2009,2014,Igushik,1_3,751.7582660387142,0
rnn,2009,2014,Kvichak,1_3,1001.60456234264,0
rnn,2009,2014,Naknek,1_3,889.419031032678,833.9741080999374
rnn,2009,2014,Nushagak,1_3,1139.86837365865,0
rnn,2009,2014,Ugashik,1_3,317.077895304194,273.3238413929939
rnn,2009,2014,Wood,1_3,2055.98667154187,1981.5918803215027
rnn,2010,2015,Egegik,1_3,671.7059064685909,1378.6454498767853
rnn,2010,2015,Igushik,1_3,1132.84511906157,707.8097015619278
rnn,2010,2015,Kvichak,1_3,5545.19985246301,965.4602408409119
rnn,2010,2015,Naknek,1_3,2291.46876796817,5570.839643478394
