model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
dlm,1996,2000,Kvichak,1_2,547.555939104106,952.36
dlm,1995,2000,Kvichak,1_3,2098.0556476268,3263.117
dlm,1995,2000,Kvichak,2_2,677.133031946363,3313.674
dlm,1994,2000,Kvichak,2_3,247.104976104451,618.594
dlm,1996,2000,Alagnak,1_2,40.3873104103675,258.455
dlm,1995,2000,Alagnak,1_3,1861.83156074104,3662.861
dlm,1995,2000,Alagnak,2_2,1.92291169605244,141.835
dlm,1994,2000,Alagnak,2_3,259.857140844817,287.429
dlm,1996,2000,Naknek,1_2,340.634566103316,215.307
dlm,1995,2000,Naknek,1_3,3130.74532811901,4875.537
dlm,1995,2000,Naknek,2_2,117.75399951469,646.555
dlm,1994,2000,Naknek,2_3,376.373315808193,801.297
dlm,1996,2000,Egegik,1_2,412.382557954044,587.402
dlm,1995,2000,Egegik,1_3,2696.12358303612,2681.73
dlm,1995,2000,Egegik,2_2,1726.75027502771,1038.769
dlm,1994,2000,Egegik,2_3,3299.27574998658,2280.516
dlm,1996,2000,Ugashik,1_2,260.683564861841,-497.449
dlm,1995,2000,Ugashik,1_3,1732.03486209766,6134.946
dlm,1995,2000,Ugashik,2_2,130.226105110663,289.374
dlm,1994,2000,Ugashik,2_3,168.386806978049,462.173
dlm,1996,2000,Igushik,1_2,77.0318964232781,165.852
dlm,1995,2000,Igushik,1_3,881.255914116359,1075.904
dlm,1995,2000,Igushik,2_2,6.53107891277216,48.732
dlm,1994,2000,Igushik,2_3,16.9204750836216,33.038
dlm,1996,2000,Wood,1_2,3104.64330313033,2641.906
dlm,1995,2000,Wood,1_3,3217.08702792887,3502.734
dlm,1995,2000,Wood,2_2,117.39806477986,111.765
dlm,1994,2000,Wood,2_3,99.1160223541334,96.716
dlm,1996,2000,Nushagak,1_2,363.788390887271,87.261
dlm,1995,2000,Nushagak,1_3,925.44881908919,463.458
dlm,1995,2000,Nushagak,2_2,13.3383822432371,65.786
dlm,1994,2000,Nushagak,2_3,34.2687231677444,9.348
dlm,1996,2000,Togiak,1_2,87,124.008
dlm,1995,2000,Togiak,1_3,1010,757.721
dlm,1995,2000,Togiak,2_2,11,34.618
dlm,1994,2000,Togiak,2_3,8,26.877
dlm,1997,2001,Kvichak,1_2,159.364714192619,837.642
dlm,1996,2001,Kvichak,1_3,1651.81778641507,667.483
dlm,1996,2001,Kvichak,2_2,24.302420013975,3210.224
dlm,1995,2001,Kvichak,2_3,96.8017625841593,214.64
dlm,1997,2001,Alagnak,1_2,1.87138703178611,248.331
dlm,1996,2001,Alagnak,1_3,1167.71021614416,804.68
dlm,1996,2001,Alagnak,2_2,1.16269608485333,137.364
dlm,1995,2001,Alagnak,2_3,3.42164847890156,264.375
dlm,1997,2001,Naknek,1_2,97.4714974381258,-60.523
dlm,1996,2001,Naknek,1_3,5591.15433758177,1322.781
dlm,1996,2001,Naknek,2_2,49.6541915278732,608.716
dlm,1995,2001,Naknek,2_3,172.127945770709,464.733
dlm,1997,2001,Egegik,1_2,17.1621261780294,499.666
dlm,1996,2001,Egegik,1_3,1386.36608215562,841.095
dlm,1996,2001,Egegik,2_2,542.540181669639,1612.998
dlm,1995,2001,Egegik,2_3,1539.47247498478,1279.73
dlm,1997,2001,Ugashik,1_2,283.827953786327,152.633
dlm,1996,2001,Ugashik,1_3,1050.8333022563,940.706
dlm,1996,2001,Ugashik,2_2,31.8013042183789,199.679
dlm,1995,2001,Ugashik,2_3,63.0236444618099,-87.763
dlm,1997,2001,Igushik,1_2,1.92656180904292,163.064
dlm,1996,2001,Igushik,1_3,800.392988632161,381.281
dlm,1996,2001,Igushik,2_2,0.807341147153337,47.354
dlm,1995,2001,Igushik,2_3,8.44629844349383,20.966
dlm,1997,2001,Wood,1_2,204.615171809202,2859.033
dlm,1996,2001,Wood,1_3,4383.74544721192,2577.466
dlm,1996,2001,Wood,2_2,2.90044984345796,111.857
dlm,1995,2001,Wood,2_3,40.7420057361275,109.41
dlm,1997,2001,Nushagak,1_2,37.5721894059692,95.93
dlm,1996,2001,Nushagak,1_3,1857.2412856885,1700.835
dlm,1996,2001,Nushagak,2_2,4.81135786109076,36.77
dlm,1995,2001,Nushagak,2_3,7.1985385994329,24.399
dlm,1997,2001,Togiak,1_2,43,-18.756
dlm,1996,2001,Togiak,1_3,987,269.096
dlm,1996,2001,Togiak,2_2,4,33.863
dlm,1995,2001,Togiak,2_3,66,8.895
dlm,1998,2002,Kvichak,1_2,375.942275188152,651.537
dlm,1997,2002,Kvichak,1_3,140.515836672732,1158.732
dlm,1997,2002,Kvichak,2_2,342.016937402607,3089.643
dlm,1996,2002,Kvichak,2_3,27.6557467201827,84.519
dlm,1998,2002,Alagnak,1_2,9.9030144088113,238.064
dlm,1997,2002,Alagnak,1_3,625.825295889401,948.941
dlm,1997,2002,Alagnak,2_2,85.3721284523524,133.724
dlm,1996,2002,Alagnak,2_3,7.23411690859409,52.356
dlm,1998,2002,Naknek,1_2,595.642300287036,247.704
dlm,1997,2002,Naknek,1_3,899.635540323144,1435.615
