model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
simplex_one system top6 ages,1985,1990,Togiak,1_3,194,444.36314517962114
smap_one system top6 ages,1985,1990,Togiak,1_3,194,367.4522915824133
simplex_one system top6 ages,1986,1991,Togiak,1_3,445,256.9434123251031
smap_one system top6 ages,1986,1991,Togiak,1_3,445,322.2035347521753
simplex_one system top6 ages,1987,1992,Togiak,1_3,575,229.4538195558277
smap_one system top6 ages,1987,1992,Togiak,1_3,575,460.12732058333506
simplex_one system top6 ages,1988,1993,Togiak,1_3,403,314.7841067383447
smap_one system top6 ages,1988,1993,Togiak,1_3,403,9.875702315734316
simplex_one system top6 ages,1989,1994,Togiak,1_3,328,543.1453781324369
smap_one system top6 ages,1989,1994,Togiak,1_3,328,363.9881615674599
simplex_one system top6 ages,1990,1995,Togiak,1_3,460,360.76134164354403
smap_one system top6 ages,1990,1995,Togiak,1_3,460,205.9600968195708
simplex_one system top6 ages,1991,1996,Togiak,1_3,429,452.1367828577296
smap_one system top6 ages,1991,1996,Togiak,1_3,429,1040.2640124414681
simplex_one system top6 ages,1992,1997,Togiak,1_3,124,405.6997878310352
smap_one system top6 ages,1992,1997,Togiak,1_3,124,204.7561562622272
simplex_one system top6 ages,1993,1998,Togiak,1_3,229,303.21439574879514
smap_one system top6 ages,1993,1998,Togiak,1_3,229,398.2260941435015
simplex_one system top6 ages,1994,1999,Togiak,1_3,167,398.7012163929651
smap_one system top6 ages,1994,1999,Togiak,1_3,167,338.5537025803844
simplex_one system top6 ages,1995,2000,Togiak,1_3,1010,419.41097992412574
smap_one system top6 ages,1995,2000,Togiak,1_3,1010,502.0911944011661
simplex_one system top6 ages,1996,2001,Togiak,1_3,987,382.0256892493421
smap_one system top6 ages,1996,2001,Togiak,1_3,987,6.64135379999675
simplex_one system top6 ages,1997,2002,Togiak,1_3,305,437.6429082162339
smap_one system top6 ages,1997,2002,Togiak,1_3,305,264.14653867023895
simplex_one system top6 ages,1998,2003,Togiak,1_3,633,390.1538392031205
smap_one system top6 ages,1998,2003,Togiak,1_3,633,233.18346497104915
simplex_one system top6 ages,1999,2004,Togiak,1_3,290,393.5317877737019
smap_one system top6 ages,1999,2004,Togiak,1_3,290,184.25019584906318
simplex_one system top6 ages,2000,2005,Togiak,1_3,318,420.09905950545766
smap_one system top6 ages,2000,2005,Togiak,1_3,318,230.9893411327602
simplex_one system top6 ages,2001,2006,Togiak,1_3,410,316.39932738407356
smap_one system top6 ages,2001,2006,Togiak,1_3,410,721.0644990576736
simplex_one system top6 ages,2002,2007,Togiak,1_3,727,386.54875874159467
smap_one system top6 ages,2002,2007,Togiak,1_3,727,434.53426899006206
simplex_one system top6 ages,2003,2008,Togiak,1_3,744,482.1935047635344
smap_one system top6 ages,2003,2008,Togiak,1_3,744,948.0224812756451
simplex_one system top6 ages,2004,2009,Togiak,1_3,483,475.9289399299113
smap_one system top6 ages,2004,2009,Togiak,1_3,483,559.0375263630596
simplex_one system top6 ages,2005,2010,Togiak,1_3,372,390.1067172917659
smap_one system top6 ages,2005,2010,Togiak,1_3,372,516.7357461088974
simplex_one system top6 ages,2006,2011,Togiak,1_3,618,373.46974429293346
smap_one system top6 ages,2006,2011,Togiak,1_3,618,529.9857231609462
simplex_one system top6 ages,2007,2012,Togiak,1_3,684.272766934078,373.10308859822703
smap_one system top6 ages,2007,2012,Togiak,1_3,684.272766934078,399.9950283674406
simplex_one system top6 ages,2008,2013,Togiak,1_3,529.328235250226,371.417820571014
smap_one system top6 ages,2008,2013,Togiak,1_3,529.328235250226,416.6483090041634
simplex_one system top6 ages,2009,2014,Togiak,1_3,401.342725674366,415.80188529059114
smap_one system top6 ages,2009,2014,Togiak,1_3,401.342725674366,388.55482032657517
simplex_one system top6 ages,2010,2015,Togiak,1_3,391.351025346557,461.7400559169056
smap_one system top6 ages,2010,2015,Togiak,1_3,391.351025346557,387.5388612061431
simplex_one system top6 ages,2011,2016,Togiak,1_3,602.452632957189,382.8858529367966
smap_one system top6 ages,2011,2016,Togiak,1_3,602.452632957189,372.95685786010364
simplex_one system top6 ages,2012,2017,Togiak,1_3,390.609696289396,503.9037240489879
smap_one system top6 ages,2012,2017,Togiak,1_3,390.609696289396,445.1088047987944
simplex_one system top6 ages,2013,2018,Togiak,1_3,780.514426701083,443.5622443697779
smap_one system top6 ages,2013,2018,Togiak,1_3,780.514426701083,372.414473865883
simplex_one system top6 ages,2014,2019,Togiak,1_3,1061.77671622806,531.9182054630187
smap_one system top6 ages,2014,2019,Togiak,1_3,1061.77671622806,540.4389299874038
