model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
rand_forest,1985,1990,Egegik,2_2,4020182.86056915,2066055.5279371315
boost_tree,1985,1990,Egegik,2_2,4020182.86056915,1344523.3154296875
rand_forest,1986,1991,Egegik,2_2,4062145.44830156,2459757.358231524
boost_tree,1986,1991,Egegik,2_2,4062145.44830156,1843616.4855957031
rand_forest,1987,1992,Egegik,2_2,8870956.78766811,3091779.879889551
boost_tree,1987,1992,Egegik,2_2,8870956.78766811,3935258.4838867188
rand_forest,1988,1993,Egegik,2_2,11121318.3761393,4833431.90779166
boost_tree,1988,1993,Egegik,2_2,11121318.3761393,4633593.444824219
rand_forest,1989,1994,Egegik,2_2,5179386.21914642,6132019.0594938295
boost_tree,1989,1994,Egegik,2_2,5179386.21914642,4893840.9423828125
rand_forest,1990,1995,Egegik,2_2,8809854.6504351,6952133.049076909
boost_tree,1990,1995,Egegik,2_2,8809854.6504351,7975440.673828125
rand_forest,1991,1996,Egegik,2_2,3223466.05149961,6044528.777892427
boost_tree,1991,1996,Egegik,2_2,3223466.05149961,5483648.681640625
rand_forest,1992,1997,Egegik,2_2,4580342.54383062,6645494.4591709105
boost_tree,1992,1997,Egegik,2_2,4580342.54383062,4505075.68359375
rand_forest,1993,1998,Egegik,2_2,800145.2431825792,4630302.01536155
boost_tree,1993,1998,Egegik,2_2,800145.2431825792,5598865.3564453125
rand_forest,1994,1999,Egegik,2_2,3805468.74727158,7472061.275932918
boost_tree,1994,1999,Egegik,2_2,3805468.74727158,7469028.3203125
rand_forest,1995,2000,Egegik,2_2,1726750.27502771,3435963.3811463485
boost_tree,1995,2000,Egegik,2_2,1726750.27502771,1544188.5375976562
rand_forest,1996,2001,Egegik,2_2,542540.181669639,3449394.5277733793
boost_tree,1996,2001,Egegik,2_2,542540.181669639,4084554.443359375
rand_forest,1997,2002,Egegik,2_2,3493430.96881301,3252459.867883999
boost_tree,1997,2002,Egegik,2_2,3493430.96881301,3738839.111328125
rand_forest,1998,2003,Egegik,2_2,490761.355957571,3068598.698466722
boost_tree,1998,2003,Egegik,2_2,490761.355957571,2793890.6860351562
rand_forest,1999,2004,Egegik,2_2,9206993.6917785,3984392.7709066896
boost_tree,1999,2004,Egegik,2_2,9206993.6917785,4717640.075683594
rand_forest,2000,2005,Egegik,2_2,3546271.31298221,3058377.259333672
boost_tree,2000,2005,Egegik,2_2,3546271.31298221,2269476.776123047
rand_forest,2001,2006,Egegik,2_2,1585956.61028939,3697588.1035493338
boost_tree,2001,2006,Egegik,2_2,1585956.61028939,3711295.166015625
rand_forest,2002,2007,Egegik,2_2,1050682.28676067,3046470.044289131
boost_tree,2002,2007,Egegik,2_2,1050682.28676067,2205649.871826172
rand_forest,2003,2008,Egegik,2_2,1926408.78969996,2349757.1568262354
boost_tree,2003,2008,Egegik,2_2,1926408.78969996,4568909.912109375
rand_forest,2004,2009,Egegik,2_2,6022979.23881917,2775258.350364645
