model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
dlm,1986,1990,Kvichak,1_2,652916.622529594,3481858.779
dlm,1985,1990,Kvichak,1_3,959015.790900485,762697.18
dlm,1985,1990,Kvichak,2_2,14851620.6994626,5332129.886
dlm,1984,1990,Kvichak,2_3,1663050.62238422,2214657.511
dlm,1986,1990,Alagnak,1_2,9.33481460050034e-8,197454.241
dlm,1985,1990,Alagnak,1_3,792074.181830565,664485.228
dlm,1985,1990,Alagnak,2_2,1.1314926788431e-8,136137.649
dlm,1984,1990,Alagnak,2_3,772146.242668685,62812.379
dlm,1986,1990,Naknek,1_2,1858983.82544858,875297.228
dlm,1985,1990,Naknek,1_3,3274444.93950671,1606815.68
dlm,1985,1990,Naknek,2_2,1612753.36439599,1177887.952
dlm,1984,1990,Naknek,2_3,1527671.6691663,1109271.721
dlm,1986,1990,Egegik,1_2,2415527.11158373,828237.284
dlm,1985,1990,Egegik,1_3,781317.551974892,762311.37
dlm,1985,1990,Egegik,2_2,4020182.86056915,3400839.746
dlm,1984,1990,Egegik,2_3,5130350.33121676,4727131.813
dlm,1986,1990,Ugashik,1_2,459249.597640838,720188.799
dlm,1985,1990,Ugashik,1_3,807793.190513286,870253.235
dlm,1985,1990,Ugashik,2_2,878253.70986812,734863.29
dlm,1984,1990,Ugashik,2_3,500631.745379609,1222274.617
dlm,1986,1990,Igushik,1_2,157348.044964435,171883.32
dlm,1985,1990,Igushik,1_3,639187.667843652,417481.607
dlm,1985,1990,Igushik,2_2,50115.516454388,59332.985
dlm,1984,1990,Igushik,2_3,16033.0906515222,37603.487
dlm,1986,1990,Wood,1_2,1225883.75435902,1004990.361
dlm,1985,1990,Wood,1_3,1822593.97986242,1418561.787
dlm,1985,1990,Wood,2_2,44470.3536875819,60025.042
dlm,1984,1990,Wood,2_3,34557.8850816372,102917.065
dlm,1986,1990,Nushagak,1_2,98020.4532820955,110590.732
dlm,1985,1990,Nushagak,1_3,638819.125362922,451122.357
dlm,1985,1990,Nushagak,2_2,2858.39739710762,96231.579
dlm,1984,1990,Nushagak,2_3,1889.90831878611,52172.206
dlm,1986,1990,Togiak,1_2,77439,37770.183
dlm,1985,1990,Togiak,1_3,194360,147592.997
dlm,1985,1990,Togiak,2_2,35480,31161.304
dlm,1984,1990,Togiak,2_3,16598,16175.289
dlm,1987,1991,Kvichak,1_2,4715391.65107696,3435425.995
dlm,1986,1991,Kvichak,1_3,868158.917998469,763341.079
dlm,1986,1991,Kvichak,2_2,1539423.85730161,3410969.765
dlm,1985,1991,Kvichak,2_3,1382907.30562953,1527681.829
dlm,1987,1991,Alagnak,1_2,2.69687089578247e-8,188569.418
dlm,1986,1991,Alagnak,1_3,954824.079690286,624724.212
dlm,1986,1991,Alagnak,2_2,1.34843544838847e-7,129750.243
dlm,1985,1991,Alagnak,2_3,720017.363924799,102878.106
dlm,1987,1991,Naknek,1_2,369590.255973837,629657.523
dlm,1986,1991,Naknek,1_3,6684278.94040582,7543949.971
dlm,1986,1991,Naknek,2_2,1219364.52692957,684235.768
dlm,1985,1991,Naknek,2_3,1407689.14807708,1237701.396
dlm,1987,1991,Egegik,1_2,699118.622713006,-529963.821
dlm,1986,1991,Egegik,1_3,3246243.1863537,4374511.788
dlm,1986,1991,Egegik,2_2,4062145.44830156,2871501.076
dlm,1985,1991,Egegik,2_3,1102467.0081613,3919835.903
dlm,1987,1991,Ugashik,1_2,856333.735321201,619518.301
dlm,1986,1991,Ugashik,1_3,2678328.79409752,626079.998
dlm,1986,1991,Ugashik,2_2,1927859.18515675,792092.45
dlm,1985,1991,Ugashik,2_3,470702.978929069,72328.256
dlm,1987,1991,Igushik,1_2,75587.8467581789,171228.184
dlm,1986,1991,Igushik,1_3,1497275.24200159,412436.324
dlm,1986,1991,Igushik,2_2,9445.27791610853,58896.62
dlm,1985,1991,Igushik,2_3,41159.6814807239,35993.369
dlm,1987,1991,Wood,1_2,1579965.35420733,928319.062
dlm,1986,1991,Wood,1_3,2760108.06285748,1343929.586
dlm,1986,1991,Wood,2_2,52691.4985044097,54647.324
dlm,1985,1991,Wood,2_3,24716.3860976435,34320.085
dlm,1987,1991,Nushagak,1_2,32993.8193841774,108163.942
dlm,1986,1991,Nushagak,1_3,791155.337996986,614836.251
dlm,1986,1991,Nushagak,2_2,2.42536906225103e-9,91753.817
dlm,1985,1991,Nushagak,2_3,10900.23944139,49111.894
dlm,1987,1991,Togiak,1_2,190194,60348.651
dlm,1986,1991,Togiak,1_3,445395,233185.573
dlm,1986,1991,Togiak,2_2,83230,11244.595
dlm,1985,1991,Togiak,2_3,76815,31136.67
dlm,1988,1992,Kvichak,1_2,3035791.52389429,3328216.127
dlm,1987,1992,Kvichak,1_3,2193830.71264806,1708929.037
dlm,1987,1992,Kvichak,2_2,4276085.75760363,5405644.122
dlm,1986,1992,Kvichak,2_3,1007435.7119005,362576.384
dlm,1988,1992,Alagnak,1_2,9.50608087674408e-9,180450.465
dlm,1987,1992,Alagnak,1_3,394531.994668672,839000.653
dlm,1987,1992,Alagnak,2_2,1.18826011011931e-8,123935.896
dlm,1986,1992,Alagnak,2_3,1066241.36924701,677532.795
dlm,1988,1992,Naknek,1_2,354737.962299196,475401.636
dlm,1987,1992,Naknek,1_3,1244917.68044809,622377.661
dlm,1987,1992,Naknek,2_2,616859.469851407,721389.902
dlm,1986,1992,Naknek,2_3,2484591.1239052,1057693.832
dlm,1988,1992,Egegik,1_2,296195.231657617,2196938.893
dlm,1987,1992,Egegik,1_3,4224764.3198417,1125677.067
dlm,1987,1992,Egegik,2_2,8870956.78766811,4795218.768
dlm,1986,1992,Egegik,2_3,4210470.4769184,1095313.347
dlm,1988,1992,Ugashik,1_2,470687.77051868,850266.994
dlm,1987,1992,Ugashik,1_3,1811306.18856715,1046895.523
dlm,1987,1992,Ugashik,2_2,1998210.95755658,1803133.247
dlm,1986,1992,Ugashik,2_3,1925221.38010179,491870.026
dlm,1988,1992,Igushik,1_2,105973.281997585,167118.489
dlm,1987,1992,Igushik,1_3,338280.673118261,536587.869
dlm,1987,1992,Igushik,2_2,2144.56089346305,56654.542
dlm,1986,1992,Igushik,2_3,15520.4950934021,24935.973
dlm,1988,1992,Wood,1_2,1850506.32317076,1004334.107
dlm,1987,1992,Wood,1_3,991109.369232489,1971007.948
dlm,1987,1992,Wood,2_2,87904.7223262223,89826.304
dlm,1986,1992,Wood,2_3,78154.6640718495,29601.919
dlm,1988,1992,Nushagak,1_2,206199.488894642,84302.314
dlm,1987,1992,Nushagak,1_3,660534.688197484,617565.117
dlm,1987,1992,Nushagak,2_2,15735.1581001703,87552.912
