model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
multiview,1986,1990,Togiak,1_2,77,0.035487649823746865
multiview,1987,1991,Togiak,1_2,190,0.15391864765651037
multiview,1988,1992,Togiak,1_2,111,0.18099645649042004
multiview,1989,1993,Togiak,1_2,132,0.1739496061446902
multiview,1990,1994,Togiak,1_2,101,0.20562750378223416
multiview,1991,1995,Togiak,1_2,189,0.18719410335996134
multiview,1992,1996,Togiak,1_2,50,0.17406525387742486
multiview,1993,1997,Togiak,1_2,64,0.06263548068079089
multiview,1994,1998,Togiak,1_2,43,0.09537808386396233
multiview,1995,1999,Togiak,1_2,341,0.15567981016084936
multiview,1996,2000,Togiak,1_2,87,0.12583171000722185
multiview,1997,2001,Togiak,1_2,43,0.057037527513354516
multiview,1998,2002,Togiak,1_2,54,0.052391187630278634
multiview,1999,2003,Togiak,1_2,137,0.11553622429496423
multiview,2000,2004,Togiak,1_2,87,0.053699068022973105
multiview,2001,2005,Togiak,1_2,63,0.17758906652945433
multiview,2002,2006,Togiak,1_2,241,0.12687732954178513
multiview,2003,2007,Togiak,1_2,245,0.1921948413365746
multiview,2004,2008,Togiak,1_2,109,0.17951529398782928
multiview,2005,2009,Togiak,1_2,302,0.11439292903927038
multiview,2006,2010,Togiak,1_2,261,0.1642145863783018
multiview,2007,2011,Togiak,1_2,164,0.10022038131172238
multiview,1985,1990,Togiak,1_3,194,0.10997066793108341
multiview,1986,1991,Togiak,1_3,445,0.28816995859655287
multiview,1987,1992,Togiak,1_3,575,0.38208082820708567
multiview,1988,1993,Togiak,1_3,403,0.5137839455422815
multiview,1989,1994,Togiak,1_3,328,0.33325734084664743
multiview,1990,1995,Togiak,1_3,460,0.14265611619999413
multiview,1991,1996,Togiak,1_3,429,0.5059627735503335
multiview,1992,1997,Togiak,1_3,124,0.1611963752289719
multiview,1993,1998,Togiak,1_3,229,0.16446157010375334
multiview,1994,1999,Togiak,1_3,167,0.17359405494585206
multiview,1995,2000,Togiak,1_3,1010,0.6158154173954089
multiview,1996,2001,Togiak,1_3,987,0.32090548267347674
multiview,1997,2002,Togiak,1_3,305,0.10312396866533152
multiview,1998,2003,Togiak,1_3,633,0.27295191544412684
multiview,1999,2004,Togiak,1_3,290,0.4767037915780437
multiview,2000,2005,Togiak,1_3,318,0.32893810682144914
multiview,2001,2006,Togiak,1_3,410,0.46871820986657897
