model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
multiview,1996,2000,Togiak,1_2,87,125.83171
multiview,1997,2001,Togiak,1_2,43,57.03752751
multiview,1998,2002,Togiak,1_2,54,52.39118763
multiview,1999,2003,Togiak,1_2,137,115.5362243
multiview,2000,2004,Togiak,1_2,87,53.69906802
multiview,2001,2005,Togiak,1_2,63,177.5890665
multiview,2002,2006,Togiak,1_2,241,126.8773295
multiview,2003,2007,Togiak,1_2,245,192.1948413
multiview,2004,2008,Togiak,1_2,109,179.515294
multiview,2005,2009,Togiak,1_2,302,114.392929
multiview,2006,2010,Togiak,1_2,261,164.2145864
multiview,2007,2011,Togiak,1_2,164,100.2203813
multiview,1995,2000,Togiak,1_3,1010,615.8154174
multiview,1996,2001,Togiak,1_3,987,320.9054827
multiview,1997,2002,Togiak,1_3,305,103.1239687
multiview,1998,2003,Togiak,1_3,633,272.9519154
multiview,1999,2004,Togiak,1_3,290,476.7037916
multiview,2000,2005,Togiak,1_3,318,328.9381068
multiview,2001,2006,Togiak,1_3,410,468.7182099
multiview,2002,2007,Togiak,1_3,727,476.9571998
multiview,2003,2008,Togiak,1_3,744,581.6244229
multiview,2004,2009,Togiak,1_3,483,404.3775406
multiview,2005,2010,Togiak,1_3,372,491.2331859
multiview,2006,2011,Togiak,1_3,618,570.7428823
multiview,1995,2000,Togiak,2_2,11,30.50659214
multiview,1996,2001,Togiak,2_2,4,10.82617337
multiview,1997,2002,Togiak,2_2,16,31.04616848
multiview,1998,2003,Togiak,2_2,24,23.81202001
multiview,1999,2004,Togiak,2_2,29,28.91307622
multiview,2000,2005,Togiak,2_2,141,26.66872175
multiview,2001,2006,Togiak,2_2,90,80.57534618
multiview,2002,2007,Togiak,2_2,25,23.70584838
multiview,2003,2008,Togiak,2_2,8,51.32084202
multiview,2004,2009,Togiak,2_2,47,20.02023903
multiview,2005,2010,Togiak,2_2,65,45.73688499
multiview,2006,2011,Togiak,2_2,45,65.37685781
multiview,1994,2000,Togiak,2_3,8,29.19448759
multiview,1995,2001,Togiak,2_3,66,48.81760034
multiview,1996,2002,Togiak,2_3,21,16.0779169
multiview,1997,2003,Togiak,2_3,87,18.04226584
multiview,1998,2004,Togiak,2_3,91,42.12761271
multiview,1999,2005,Togiak,2_3,50,60.19280906
multiview,2000,2006,Togiak,2_3,152,49.64792214
multiview,2001,2007,Togiak,2_3,62,77.04104989
multiview,2002,2008,Togiak,2_3,19,43.60086801
multiview,2003,2009,Togiak,2_3,13,34.92623168
multiview,2004,2010,Togiak,2_3,40,37.86196956
multiview,2005,2011,Togiak,2_3,32,33.03323308
multiview,1994,2000,Igushik,2_3,16.92047508,18.53066789
multiview,1995,2000,Igushik,1_3,881.2559141,468.6107807
multiview,1995,2000,Igushik,2_2,6.531078913,141.143934
multiview,1995,2001,Igushik,2_3,8.446298443,31.55404112
multiview,1996,2000,Igushik,1_2,77.03189642,200.7466452
multiview,1996,2001,Igushik,1_3,800.3929886,928.4833354
multiview,1996,2001,Igushik,2_2,0.807341147,7.689465409
multiview,1996,2002,Igushik,2_3,5.343970345,6.912339305
multiview,1997,2001,Igushik,1_2,1.926561809,74.03649433
multiview,1997,2002,Igushik,1_3,51.66832987,615.7275147
multiview,1997,2002,Igushik,2_2,9.522011879,10.88969588
multiview,1997,2003,Igushik,2_3,33.17148241,10.66347783
multiview,1998,2002,Igushik,1_2,130.3624573,256.2944785
multiview,1998,2003,Igushik,1_3,393.2661094,189.1242669
multiview,1998,2003,Igushik,2_2,2.906789674,9.724513562
multiview,1998,2004,Igushik,2_3,7.520512876,19.78255626
multiview,1999,2003,Igushik,1_2,60.85242568,62.92700822
multiview,1999,2004,Igushik,1_3,146.8399681,510.2850244
multiview,1999,2004,Igushik,2_2,58.39246371,85.16025778
multiview,1999,2005,Igushik,2_3,96.33637904,26.07796752
multiview,2000,2004,Igushik,1_2,53.30266828,189.7876433
multiview,2000,2005,Igushik,1_3,660.5463415,200.3551704
multiview,2000,2005,Igushik,2_2,12.37729043,22.50721992
multiview,2000,2006,Igushik,2_3,38.16815603,22.62787468
multiview,2001,2005,Igushik,1_2,31.82731825,49.01423384
multiview,2001,2006,Igushik,1_3,442.8196345,702.7605386
multiview,2001,2006,Igushik,2_2,7.801618104,22.12105264
multiview,2001,2007,Igushik,2_3,4.360486121,24.17601692
multiview,2002,2006,Igushik,1_2,235.1723272,71.68610169
multiview,2002,2007,Igushik,1_3,202.3134683,147.5214385
multiview,2002,2007,Igushik,2_2,40.56843553,11.03870522
multiview,2002,2008,Igushik,2_3,11.80792863,25.9842486
multiview,2003,2007,Igushik,1_2,772.5298751,309.4601764
multiview,2003,2008,Igushik,1_3,1273.529147,446.6759809
multiview,2003,2008,Igushik,2_2,2.01644191,51.64120865
multiview,2003,2009,Igushik,2_3,38.92728613,10.4131002
multiview,2004,2008,Igushik,1_2,596.2064229,303.2049619
multiview,2004,2009,Igushik,1_3,1202.309416,683.7651456
multiview,2004,2009,Igushik,2_2,16.99924444,84.48171157
multiview,2004,2010,Igushik,2_3,18.65001631,8.381999883
multiview,2005,2009,Igushik,1_2,326.356128,56.85803894
multiview,2005,2010,Igushik,1_3,1169.822407,948.3573277
multiview,2005,2010,Igushik,2_2,28.67386637,5.561020185
multiview,2005,2011,Igushik,2_3,51.68282673,17.70088039
multiview,2006,2010,Igushik,1_2,187.9790778,204.6871227
multiview,2006,2011,Igushik,1_3,782.3025494,1136.300308
multiview,2006,2011,Igushik,2_2,18.50121688,14.59802575
multiview,2006,2012,Igushik,2_3,13.21772038,43.88188346
multiview,2007,2011,Igushik,1_2,160.6421455,79.29170683
multiview,2007,2012,Igushik,1_3,422.8332094,691.8427701
multiview,2007,2012,Igushik,2_2,16.12805769,14.40906841
multiview,2007,2013,Igushik,2_3,7.949201949,20.44279149
multiview,2008,2012,Igushik,1_2,52.67192935,108.6626015
multiview,2008,2013,Igushik,1_3,513.077367,298.0988483
multiview,2008,2013,Igushik,2_2,38.39744312,12.52509823
multiview,2008,2014,Igushik,2_3,56.71025551,39.7956849
multiview,2009,2013,Igushik,1_2,132.0915076,82.33860163
multiview,2009,2014,Igushik,1_3,751.758266,365.3724603
multiview,2009,2014,Igushik,2_2,56.11274478,18.62749471
multiview,2009,2015,Igushik,2_3,1.804625457,15.15439978
multiview,2010,2014,Igushik,1_2,567.6088595,297.5412831
multiview,2010,2015,Igushik,1_3,1132.845119,604.0081168
multiview,2010,2015,Igushik,2_2,0.500258413,27.97479103
multiview,2010,2016,Igushik,2_3,13.43910355,15.37522839
multiview,2011,2015,Igushik,1_2,507.8399012,91.40482018
multiview,2011,2016,Igushik,1_3,1460.187565,1112.483142
multiview,2011,2016,Igushik,2_2,11.16458684,95.78690217
multiview,2011,2017,Igushik,2_3,3.088117561,28.92743344
multiview,2012,2016,Igushik,1_2,364.1118822,200.8061072
multiview,2012,2017,Igushik,1_3,312.4677661,912.1382258
multiview,2012,2017,Igushik,2_2,4.050314015,23.58014287
multiview,2012,2018,Igushik,2_3,3.64E-12,9.95951302
multiview,2013,2017,Igushik,1_2,906.9129739,284.8853685
multiview,2013,2018,Igushik,1_3,1180.877041,1049.598815
multiview,2013,2018,Igushik,2_2,0.678267914,16.97815289
multiview,2013,2019,Igushik,2_3,3.254473827,21.53576017
multiview,2014,2018,Igushik,1_2,734.9039201,261.5565594
multiview,2014,2019,Igushik,1_3,1115.187106,1288.940836
multiview,2014,2019,Igushik,2_2,5.345267451,47.44477468
multiview,2015,2019,Igushik,1_2,233.249005,301.2393275
multiview,1994,2000,Wood,2_3,99.11602235,128.9442899
multiview,1995,2000,Wood,1_3,3217.087028,2443.165177
multiview,1995,2000,Wood,2_2,117.3980648,390.5181912
multiview,1995,2001,Wood,2_3,40.74200574,143.2423158
multiview,1996,2000,Wood,1_2,3104.643303,2547.790401
multiview,1996,2001,Wood,1_3,4383.745447,2643.739769
multiview,1996,2001,Wood,2_2,2.900449843,137.6817167
multiview,1996,2002,Wood,2_3,17.32284825,118.3356796
multiview,1997,2001,Wood,1_2,204.6151718,1423.826184
multiview,1997,2002,Wood,1_3,584.4270465,1694.850979
multiview,1997,2002,Wood,2_2,194.8363914,125.9718937
multiview,1997,2003,Wood,2_3,227.6992295,167.4904597
multiview,1998,2002,Wood,1_2,3038.333543,2357.629844
multiview,1998,2003,Wood,1_3,3535.682354,2866.584942
multiview,1998,2003,Wood,2_2,148.0167581,147.1693589
multiview,1998,2004,Wood,2_3,134.8736171,61.03674673
multiview,1999,2003,Wood,1_2,2291.69964,2897.053869
multiview,1999,2004,Wood,1_3,2609.475413,1989.780484
multiview,1999,2004,Wood,2_2,399.8673348,345.9045539
multiview,1999,2005,Wood,2_3,309.5141976,141.8537511
multiview,2000,2004,Wood,1_2,3280.676029,2441.91449
multiview,2000,2005,Wood,1_3,3230.094221,3587.8719
multiview,2000,2005,Wood,2_2,112.7477883,150.9841637
multiview,2000,2006,Wood,2_3,550.2904352,41.20898424
multiview,2001,2005,Wood,1_2,2176.259137,2925.378024
multiview,2001,2006,Wood,1_3,5495.801179,3027.635035
multiview,2001,2006,Wood,2_2,562.7021405,305.0482814
multiview,2001,2007,Wood,2_3,62.04387147,148.2614085
multiview,2002,2006,Wood,1_2,5937.283884,2732.450043
multiview,2002,2007,Wood,1_3,2121.062956,3625.573097
multiview,2002,2007,Wood,2_2,236.5445006,143.4946967
multiview,2002,2008,Wood,2_3,41.83667308,210.2758845
multiview,2003,2007,Wood,1_2,5350.245612,3156.222032
multiview,2003,2008,Wood,1_3,2810.307868,3639.239699
multiview,2003,2008,Wood,2_2,37.74149696,148.2618409
multiview,2003,2009,Wood,2_3,87.03196137,123.3044314
multiview,2004,2008,Wood,1_2,3912.8841,2528.962424
multiview,2004,2009,Wood,1_3,3867.602648,3621.840247
multiview,2004,2009,Wood,2_2,112.868387,255.7612363
multiview,2004,2010,Wood,2_3,137.2511996,270.8542478
multiview,2005,2009,Wood,1_2,2515.742977,2365.06671
multiview,2005,2010,Wood,1_3,3860.0793,4268.160826
multiview,2005,2010,Wood,2_2,235.8713531,90.31416087
multiview,2005,2011,Wood,2_3,95.46281269,131.2853318
multiview,2006,2010,Wood,1_2,4545.899601,3483.201783
multiview,2006,2011,Wood,1_3,3188.317584,3787.734987
multiview,2006,2011,Wood,2_2,185.8568109,140.3158896
multiview,2006,2012,Wood,2_3,52.93443739,40.94200278
multiview,2007,2011,Wood,1_2,1466.827176,2031.667064
multiview,2007,2012,Wood,1_3,1144.815844,2668.994523
multiview,2007,2012,Wood,2_2,175.4129027,175.1049246
multiview,2007,2013,Wood,2_3,34.60043199,99.64504943
multiview,2008,2012,Wood,1_2,1306.633211,2607.584821
multiview,2008,2013,Wood,1_3,1776.273497,1444.715989
