model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
rand_forest,1985,1990,Egegik,2_2,4020182.86056915,2142207.8841039347
boost_tree,1985,1990,Egegik,2_2,4020182.86056915,1488250.5798339844
rand_forest,1986,1991,Egegik,2_2,4062145.44830156,2484868.6954247905
boost_tree,1986,1991,Egegik,2_2,4062145.44830156,810005.4168701172
rand_forest,1987,1992,Egegik,2_2,8870956.78766811,2983028.2322276696
boost_tree,1987,1992,Egegik,2_2,8870956.78766811,3230620.4223632812
rand_forest,1988,1993,Egegik,2_2,11121318.3761393,4635196.483546748
boost_tree,1988,1993,Egegik,2_2,11121318.3761393,5711677.8564453125
rand_forest,1989,1994,Egegik,2_2,5179386.21914642,6155796.31831479
boost_tree,1989,1994,Egegik,2_2,5179386.21914642,7452151.4892578125
rand_forest,1990,1995,Egegik,2_2,8809854.6504351,6592593.945057298
boost_tree,1990,1995,Egegik,2_2,8809854.6504351,7508965.4541015625
rand_forest,1991,1996,Egegik,2_2,3223466.05149961,6048104.272060321
boost_tree,1991,1996,Egegik,2_2,3223466.05149961,5182845.458984375
rand_forest,1992,1997,Egegik,2_2,4580342.54383062,6311944.70691
boost_tree,1992,1997,Egegik,2_2,4580342.54383062,6046529.541015625
rand_forest,1993,1998,Egegik,2_2,800145.2431825792,4581388.945306393
boost_tree,1993,1998,Egegik,2_2,800145.2431825792,6462237.548828125
rand_forest,1994,1999,Egegik,2_2,3805468.74727158,7261142.754300915
boost_tree,1994,1999,Egegik,2_2,3805468.74727158,6006148.0712890625
rand_forest,1995,2000,Egegik,2_2,1726750.27502771,3387934.180700403
boost_tree,1995,2000,Egegik,2_2,1726750.27502771,4000783.9965820312
rand_forest,1996,2001,Egegik,2_2,542540.181669639,3273937.9803730077
boost_tree,1996,2001,Egegik,2_2,542540.181669639,3206885.6811523438
rand_forest,1997,2002,Egegik,2_2,3493430.96881301,3447026.7783855246
boost_tree,1997,2002,Egegik,2_2,3493430.96881301,3421959.8388671875
