model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
rand_forest,1985,1990,Egegik,1_3,781.317551974892,989.6464174516669
boost_tree,1985,1990,Egegik,1_3,781.317551974892,466.72672033309937
rand_forest,1986,1991,Egegik,1_3,3246.2431863537,1293.8418566486237
boost_tree,1986,1991,Egegik,1_3,3246.2431863537,2358.4413528442383
rand_forest,1987,1992,Egegik,1_3,4224.7643198417,1447.290813253964
boost_tree,1987,1992,Egegik,1_3,4224.7643198417,2023.7690210342407
rand_forest,1988,1993,Egegik,1_3,1049.59395412407,1273.3354085020924
boost_tree,1988,1993,Egegik,1_3,1049.59395412407,1287.8836691379547
rand_forest,1989,1994,Egegik,1_3,251.240483423863,1044.654207922208
boost_tree,1989,1994,Egegik,1_3,251.240483423863,1835.2875113487244
rand_forest,1990,1995,Egegik,1_3,729.603397874664,733.6552093466297
boost_tree,1990,1995,Egegik,1_3,729.603397874664,568.3114007115364
rand_forest,1991,1996,Egegik,1_3,2874.74051729011,2384.071102734282
boost_tree,1991,1996,Egegik,1_3,2874.74051729011,2106.9876849651337
rand_forest,1992,1997,Egegik,1_3,531.796340706028,939.2103104266627
boost_tree,1992,1997,Egegik,1_3,531.796340706028,1456.94300532341
rand_forest,1993,1998,Egegik,1_3,329.34410391586994,670.3922747409888
boost_tree,1993,1998,Egegik,1_3,329.34410391586994,702.1896541118622
rand_forest,1994,1999,Egegik,1_3,493.716326715755,763.7254828569451
boost_tree,1994,1999,Egegik,1_3,493.716326715755,899.2220461368561
rand_forest,1995,2000,Egegik,1_3,2696.12358303612,2894.967223026942
boost_tree,1995,2000,Egegik,1_3,2696.12358303612,2380.7843029499054
rand_forest,1996,2001,Egegik,1_3,1386.36608215562,659.2622062024631
boost_tree,1996,2001,Egegik,1_3,1386.36608215562,727.5111228227615
rand_forest,1997,2002,Egegik,1_3,177.854741528293,927.2442690074116
boost_tree,1997,2002,Egegik,1_3,177.854741528293,879.313126206398
rand_forest,1998,2003,Egegik,1_3,76.4336324749365,695.8433871648839
boost_tree,1998,2003,Egegik,1_3,76.4336324749365,559.3946203589439
rand_forest,1999,2004,Egegik,1_3,395.979776102227,463.24103260950795
boost_tree,1999,2004,Egegik,1_3,395.979776102227,497.67084419727325
rand_forest,2000,2005,Egegik,1_3,2432.55443428977,2743.8453657922782
boost_tree,2000,2005,Egegik,1_3,2432.55443428977,2306.343913078308
rand_forest,2001,2006,Egegik,1_3,797.157916885736,549.0295890410723
boost_tree,2001,2006,Egegik,1_3,797.157916885736,1369.8749244213104
rand_forest,2002,2007,Egegik,1_3,2203.10766731632,2615.5256296555663
boost_tree,2002,2007,Egegik,1_3,2203.10766731632,2383.800148963928
rand_forest,2003,2008,Egegik,1_3,2551.65384329518,2494.0607491994315
boost_tree,2003,2008,Egegik,1_3,2551.65384329518,2090.6080305576324
rand_forest,2004,2009,Egegik,1_3,3459.26592735207,2491.2550442543024
boost_tree,2004,2009,Egegik,1_3,3459.26592735207,2567.068934440613
rand_forest,2005,2010,Egegik,1_3,202.329242340627,1021.1882336892744
boost_tree,2005,2010,Egegik,1_3,202.329242340627,951.99815928936
rand_forest,2006,2011,Egegik,1_3,253.93580865245,527.9004257760369
boost_tree,2006,2011,Egegik,1_3,253.93580865245,444.9046403169632
rand_forest,2007,2012,Egegik,1_3,429.303381286117,513.6390188207671
boost_tree,2007,2012,Egegik,1_3,429.303381286117,322.67849892377853
rand_forest,2008,2013,Egegik,1_3,1090.63651110288,764.7261839611549
boost_tree,2008,2013,Egegik,1_3,1090.63651110288,764.4277065992355
rand_forest,2009,2014,Egegik,1_3,488.70449355940804,802.5419748276472
boost_tree,2009,2014,Egegik,1_3,488.70449355940804,56.79588299244642
rand_forest,2010,2015,Egegik,1_3,671.7059064685909,504.2460134517723
boost_tree,2010,2015,Egegik,1_3,671.7059064685909,501.4690011739731
rand_forest,2011,2016,Egegik,1_3,1095.74023201025,440.2975167724094
boost_tree,2011,2016,Egegik,1_3,1095.74023201025,674.8461723327637
rand_forest,2012,2017,Egegik,1_3,1278.33131161235,2645.156052646764
boost_tree,2012,2017,Egegik,1_3,1278.33131161235,2719.801664352417
rand_forest,2013,2018,Egegik,1_3,1945.68095868316,2240.267689877553
boost_tree,2013,2018,Egegik,1_3,1945.68095868316,2320.031523704529
rand_forest,2014,2019,Egegik,1_3,2005.9414733935603,1967.8891671874749
boost_tree,2014,2019,Egegik,1_3,2005.9414733935603,2126.476466655731
rand_forest,2015,2020,Egegik,1_3,12434.8972348414,2046.2933699805385
boost_tree,2015,2020,Egegik,1_3,12434.8972348414,1603.0606627464294
rand_forest,1985,1990,Igushik,1_3,639.187667843652,586.7040169217317
boost_tree,1985,1990,Igushik,1_3,639.187667843652,600.8629128336906
rand_forest,1986,1991,Igushik,1_3,1497.27524200159,509.0202092655686
boost_tree,1986,1991,Igushik,1_3,1497.27524200159,228.466484695673
rand_forest,1987,1992,Igushik,1_3,338.280673118261,696.4374962815946
boost_tree,1987,1992,Igushik,1_3,338.280673118261,643.7933444976807
rand_forest,1988,1993,Igushik,1_3,479.542117997172,798.2822680954835
boost_tree,1988,1993,Igushik,1_3,479.542117997172,704.0433585643768
rand_forest,1989,1994,Igushik,1_3,693.5030729536982,769.39673825617
boost_tree,1989,1994,Igushik,1_3,693.5030729536982,791.1999523639679
rand_forest,1990,1995,Igushik,1_3,883.940866873795,663.2160583909283
boost_tree,1990,1995,Igushik,1_3,883.940866873795,562.2755363583565
rand_forest,1991,1996,Igushik,1_3,798.731025340402,644.5659891606706
boost_tree,1991,1996,Igushik,1_3,798.731025340402,445.58562338352203
rand_forest,1992,1997,Igushik,1_3,91.7137599861677,700.1996709468027
boost_tree,1992,1997,Igushik,1_3,91.7137599861677,642.3244625329971
rand_forest,1993,1998,Igushik,1_3,239.150727432154,634.480817943336
boost_tree,1993,1998,Igushik,1_3,239.150727432154,427.3883253335953
rand_forest,1994,1999,Igushik,1_3,435.418545791522,665.6790415607259
boost_tree,1994,1999,Igushik,1_3,435.418545791522,1326.1088728904724
rand_forest,1995,2000,Igushik,1_3,881.255914116359,691.2795650331597
boost_tree,1995,2000,Igushik,1_3,881.255914116359,875.3661066293716
rand_forest,1996,2001,Igushik,1_3,800.392988632161,568.1683010351401
boost_tree,1996,2001,Igushik,1_3,800.392988632161,613.8954684138298
rand_forest,1997,2002,Igushik,1_3,51.66832987016989,495.8824621327941
boost_tree,1997,2002,Igushik,1_3,51.66832987016989,327.5362029671669
rand_forest,1998,2003,Igushik,1_3,393.266109393025,700.9011020678882
boost_tree,1998,2003,Igushik,1_3,393.266109393025,836.1707627773285
rand_forest,1999,2004,Igushik,1_3,146.839968080134,457.5883238581501
boost_tree,1999,2004,Igushik,1_3,146.839968080134,277.6264399290085
rand_forest,2000,2005,Igushik,1_3,660.5463414763641,612.0674254506908
boost_tree,2000,2005,Igushik,1_3,660.5463414763641,668.3675944805145
rand_forest,2001,2006,Igushik,1_3,442.819634474873,494.34907911077545
boost_tree,2001,2006,Igushik,1_3,442.819634474873,509.2553049325943
rand_forest,2002,2007,Igushik,1_3,202.31346825446596,664.1249548396888
boost_tree,2002,2007,Igushik,1_3,202.31346825446596,897.2563594579697
rand_forest,2003,2008,Igushik,1_3,1273.52914699582,623.2284172580358
boost_tree,2003,2008,Igushik,1_3,1273.52914699582,413.93663734197617
rand_forest,2004,2009,Igushik,1_3,1202.30941578869,780.600072263179
boost_tree,2004,2009,Igushik,1_3,1202.30941578869,793.8557863235474
rand_forest,2005,2010,Igushik,1_3,1169.82240676128,859.5495150626016
boost_tree,2005,2010,Igushik,1_3,1169.82240676128,760.6372982263565
rand_forest,2006,2011,Igushik,1_3,782.302549399953,888.5448249935
boost_tree,2006,2011,Igushik,1_3,782.302549399953,992.9575026035309
rand_forest,2007,2012,Igushik,1_3,422.8332093667469,690.9757592243748
boost_tree,2007,2012,Igushik,1_3,422.8332093667469,688.7347996234894
rand_forest,2008,2013,Igushik,1_3,513.077366998821,709.2994598095087
boost_tree,2008,2013,Igushik,1_3,513.077366998821,921.3311225175858
rand_forest,2009,2014,Igushik,1_3,751.7582660387142,522.0902304867292
boost_tree,2009,2014,Igushik,1_3,751.7582660387142,396.54091000556946
rand_forest,2010,2015,Igushik,1_3,1132.84511906157,821.9771942051791
boost_tree,2010,2015,Igushik,1_3,1132.84511906157,775.0387489795685
rand_forest,2011,2016,Igushik,1_3,1460.18756497842,773.9556106688898
boost_tree,2011,2016,Igushik,1_3,1460.18756497842,793.6931401491165
rand_forest,2012,2017,Igushik,1_3,312.467766126239,1123.7078206669764
boost_tree,2012,2017,Igushik,1_3,312.467766126239,1247.3995983600616
rand_forest,2013,2018,Igushik,1_3,1180.87704111048,827.8367979789829
boost_tree,2013,2018,Igushik,1_3,1180.87704111048,605.5731698870659
rand_forest,2014,2019,Igushik,1_3,1115.18710570215,902.1257208911617
boost_tree,2014,2019,Igushik,1_3,1115.18710570215,1024.7094184160233
rand_forest,2015,2020,Igushik,1_3,652.346822095755,984.4291273213983
boost_tree,2015,2020,Igushik,1_3,652.346822095755,953.8037329912186
rand_forest,1985,1990,Kvichak,1_3,959.015790900485,1169.8337503241937
boost_tree,1985,1990,Kvichak,1_3,959.015790900485,1262.5503540039062
rand_forest,1986,1991,Kvichak,1_3,868.1589179984688,1043.0590991681324
boost_tree,1986,1991,Kvichak,1_3,868.1589179984688,802.8683811426163
rand_forest,1987,1992,Kvichak,1_3,2193.83071264806,1241.6812970103847
boost_tree,1987,1992,Kvichak,1_3,2193.83071264806,1599.2876887321472
rand_forest,1988,1993,Kvichak,1_3,1958.43441272523,1190.2657896783476
boost_tree,1988,1993,Kvichak,1_3,1958.43441272523,1895.6303596496582
rand_forest,1989,1994,Kvichak,1_3,1072.38273567232,1647.550223887074
boost_tree,1989,1994,Kvichak,1_3,1072.38273567232,1130.6464672088623
rand_forest,1990,1995,Kvichak,1_3,890.766528272166,1158.5667870896132
boost_tree,1990,1995,Kvichak,1_3,890.766528272166,898.4978497028351
rand_forest,1991,1996,Kvichak,1_3,1181.69315116645,1374.009717574994
boost_tree,1991,1996,Kvichak,1_3,1181.69315116645,1267.051100730896
rand_forest,1992,1997,Kvichak,1_3,300.635187870466,1302.7979834647238
boost_tree,1992,1997,Kvichak,1_3,300.635187870466,1257.2142481803894
rand_forest,1993,1998,Kvichak,1_3,873.115774861855,1144.7733831875805
boost_tree,1993,1998,Kvichak,1_3,873.115774861855,697.8879123926163
rand_forest,1994,1999,Kvichak,1_3,1062.07160333619,1053.429924526826
boost_tree,1994,1999,Kvichak,1_3,1062.07160333619,953.2103687524796
rand_forest,1995,2000,Kvichak,1_3,2098.0556476268,1612.3648396266049
boost_tree,1995,2000,Kvichak,1_3,2098.0556476268,2044.820636510849
rand_forest,1996,2001,Kvichak,1_3,1651.8177864150703,881.9155996041924
boost_tree,1996,2001,Kvichak,1_3,1651.8177864150703,875.9760856628418
rand_forest,1997,2002,Kvichak,1_3,140.515836672732,1126.0648731962929
