model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
dlm,1986,1990,Kvichak,1_2,652.916622529594,3481.859
dlm,1985,1990,Kvichak,1_3,959.015790900485,762.697
dlm,1985,1990,Kvichak,2_2,14851.6206994626,5332.13
dlm,1984,1990,Kvichak,2_3,1663.05062238422,2214.658
dlm,1986,1990,Alagnak,1_2,9.33481460050034e-11,197.454
dlm,1985,1990,Alagnak,1_3,792.074181830565,664.485
dlm,1985,1990,Alagnak,2_2,1.1314926788431e-11,136.138
dlm,1984,1990,Alagnak,2_3,772.146242668685,62.812
dlm,1986,1990,Naknek,1_2,1858.98382544858,875.297
dlm,1985,1990,Naknek,1_3,3274.44493950671,1606.816
dlm,1985,1990,Naknek,2_2,1612.75336439599,1177.888
dlm,1984,1990,Naknek,2_3,1527.6716691663,1109.272
dlm,1986,1990,Egegik,1_2,2415.52711158373,828.237
dlm,1985,1990,Egegik,1_3,781.317551974892,762.311
dlm,1985,1990,Egegik,2_2,4020.18286056915,3400.84
dlm,1984,1990,Egegik,2_3,5130.35033121676,4727.132
dlm,1986,1990,Ugashik,1_2,459.249597640838,720.189
dlm,1985,1990,Ugashik,1_3,807.793190513286,870.253
dlm,1985,1990,Ugashik,2_2,878.25370986812,734.863
dlm,1984,1990,Ugashik,2_3,500.631745379609,1222.275
dlm,1986,1990,Igushik,1_2,157.348044964435,171.883
dlm,1985,1990,Igushik,1_3,639.187667843652,417.482
dlm,1985,1990,Igushik,2_2,50.115516454388,59.333
dlm,1984,1990,Igushik,2_3,16.0330906515222,37.603
dlm,1986,1990,Wood,1_2,1225.88375435902,1004.99
dlm,1985,1990,Wood,1_3,1822.59397986242,1418.562
dlm,1985,1990,Wood,2_2,44.4703536875819,60.025
dlm,1984,1990,Wood,2_3,34.5578850816372,102.917
dlm,1986,1990,Nushagak,1_2,98.0204532820955,110.591
dlm,1985,1990,Nushagak,1_3,638.819125362922,451.122
dlm,1985,1990,Nushagak,2_2,2.85839739710762,96.232
dlm,1984,1990,Nushagak,2_3,1.88990831878611,52.172
dlm,1986,1990,Togiak,1_2,77,37.525
dlm,1985,1990,Togiak,1_3,194,147.143
dlm,1985,1990,Togiak,2_2,35,29.729
dlm,1984,1990,Togiak,2_3,17,16.352
dlm,1987,1991,Kvichak,1_2,4715.39165107696,3435.426
dlm,1986,1991,Kvichak,1_3,868.158917998469,763.341
dlm,1986,1991,Kvichak,2_2,1539.42385730161,3410.97
dlm,1985,1991,Kvichak,2_3,1382.90730562953,1527.682
dlm,1987,1991,Alagnak,1_2,2.69687089578247e-11,188.569
dlm,1986,1991,Alagnak,1_3,954.824079690286,624.724
dlm,1986,1991,Alagnak,2_2,1.34843544838847e-10,129.75
dlm,1985,1991,Alagnak,2_3,720.017363924799,102.878
dlm,1987,1991,Naknek,1_2,369.590255973837,629.658
dlm,1986,1991,Naknek,1_3,6684.27894040582,7543.95
dlm,1986,1991,Naknek,2_2,1219.36452692957,684.236
dlm,1985,1991,Naknek,2_3,1407.68914807708,1237.701
dlm,1987,1991,Egegik,1_2,699.118622713006,-529.964
dlm,1986,1991,Egegik,1_3,3246.2431863537,4374.512
dlm,1986,1991,Egegik,2_2,4062.14544830156,2871.501
dlm,1985,1991,Egegik,2_3,1102.4670081613,3919.836
dlm,1987,1991,Ugashik,1_2,856.333735321201,619.518
dlm,1986,1991,Ugashik,1_3,2678.32879409752,626.08
dlm,1986,1991,Ugashik,2_2,1927.85918515675,792.092
dlm,1985,1991,Ugashik,2_3,470.702978929069,72.328
dlm,1987,1991,Igushik,1_2,75.5878467581789,171.228
dlm,1986,1991,Igushik,1_3,1497.27524200159,412.436
dlm,1986,1991,Igushik,2_2,9.44527791610853,58.897
dlm,1985,1991,Igushik,2_3,41.1596814807239,35.993
dlm,1987,1991,Wood,1_2,1579.96535420733,928.319
dlm,1986,1991,Wood,1_3,2760.10806285748,1343.93
dlm,1986,1991,Wood,2_2,52.6914985044097,54.647
dlm,1985,1991,Wood,2_3,24.7163860976435,34.32
dlm,1987,1991,Nushagak,1_2,32.9938193841774,108.164
dlm,1986,1991,Nushagak,1_3,791.155337996986,614.836
dlm,1986,1991,Nushagak,2_2,2.42536906225103e-12,91.754
dlm,1985,1991,Nushagak,2_3,10.90023944139,49.112
dlm,1987,1991,Togiak,1_2,190,59.973
dlm,1986,1991,Togiak,1_3,445,232.372
dlm,1986,1991,Togiak,2_2,83,11.312
dlm,1985,1991,Togiak,2_3,77,30.856
dlm,1988,1992,Kvichak,1_2,3035.79152389429,3328.216
dlm,1987,1992,Kvichak,1_3,2193.83071264806,1708.929
dlm,1987,1992,Kvichak,2_2,4276.08575760363,5405.644
dlm,1986,1992,Kvichak,2_3,1007.4357119005,362.576
dlm,1988,1992,Alagnak,1_2,9.50608087674408e-12,180.45
dlm,1987,1992,Alagnak,1_3,394.531994668672,839.001
dlm,1987,1992,Alagnak,2_2,1.18826011011931e-11,123.936
dlm,1986,1992,Alagnak,2_3,1066.24136924701,677.533
dlm,1988,1992,Naknek,1_2,354.737962299196,475.402
dlm,1987,1992,Naknek,1_3,1244.91768044809,622.378
dlm,1987,1992,Naknek,2_2,616.859469851407,721.39
dlm,1986,1992,Naknek,2_3,2484.5911239052,1057.694
dlm,1988,1992,Egegik,1_2,296.195231657617,2196.939
dlm,1987,1992,Egegik,1_3,4224.7643198417,1125.677
dlm,1987,1992,Egegik,2_2,8870.95678766811,4795.219
dlm,1986,1992,Egegik,2_3,4210.4704769184,1095.313
dlm,1988,1992,Ugashik,1_2,470.68777051868,850.267
dlm,1987,1992,Ugashik,1_3,1811.30618856715,1046.896
dlm,1987,1992,Ugashik,2_2,1998.21095755658,1803.133
dlm,1986,1992,Ugashik,2_3,1925.22138010179,491.87
dlm,1988,1992,Igushik,1_2,105.973281997585,167.118
dlm,1987,1992,Igushik,1_3,338.280673118261,536.588
dlm,1987,1992,Igushik,2_2,2.14456089346305,56.655
dlm,1986,1992,Igushik,2_3,15.5204950934021,24.936
dlm,1988,1992,Wood,1_2,1850.50632317076,1004.334
dlm,1987,1992,Wood,1_3,991.109369232489,1971.008
dlm,1987,1992,Wood,2_2,87.9047223262223,89.826
dlm,1986,1992,Wood,2_3,78.1546640718495,29.602
dlm,1988,1992,Nushagak,1_2,206.199488894642,84.302
dlm,1987,1992,Nushagak,1_3,660.534688197484,617.565
dlm,1987,1992,Nushagak,2_2,15.7351581001703,87.553
dlm,1986,1992,Nushagak,2_3,50.0924590511316,46.55
dlm,1988,1992,Togiak,1_2,111,137.357
dlm,1987,1992,Togiak,1_3,575,456.015
dlm,1987,1992,Togiak,2_2,31,36.053
dlm,1986,1992,Togiak,2_3,121,81.682
dlm,1989,1993,Kvichak,1_2,1860.64386705856,2748.525
dlm,1988,1993,Kvichak,1_3,1958.43441272523,1524.91
dlm,1988,1993,Kvichak,2_2,3698.33732271235,4406.816
dlm,1987,1993,Kvichak,2_3,329.082114224602,878.568
dlm,1989,1993,Alagnak,1_2,712.704841944845,173.001
dlm,1988,1993,Alagnak,1_3,638.576414798764,597.073
dlm,1988,1993,Alagnak,2_2,615.410937758418,118.62
dlm,1987,1993,Alagnak,2_3,374.484406268351,1005.93
dlm,1989,1993,Naknek,1_2,360.910259530495,569.278
dlm,1988,1993,Naknek,1_3,1120.89525967834,692.878
dlm,1988,1993,Naknek,2_2,780.077429791028,1233.171
