model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
multiview,1986,1990,Togiak,1_2,77,35.487649823746864
multiview,1987,1991,Togiak,1_2,190,153.91864765651036
multiview,1988,1992,Togiak,1_2,111,180.99645649042003
multiview,1989,1993,Togiak,1_2,132,173.94960614469022
multiview,1990,1994,Togiak,1_2,101,205.62750378223416
multiview,1991,1995,Togiak,1_2,189,187.19410335996133
multiview,1992,1996,Togiak,1_2,50,174.06525387742485
multiview,1993,1997,Togiak,1_2,64,62.63548068079089
multiview,1994,1998,Togiak,1_2,43,95.37808386396233
multiview,1995,1999,Togiak,1_2,341,155.67981016084937
multiview,1996,2000,Togiak,1_2,87,125.83171000722184
multiview,1997,2001,Togiak,1_2,43,57.03752751335452
multiview,1998,2002,Togiak,1_2,54,52.39118763027864
multiview,1999,2003,Togiak,1_2,137,115.53622429496423
multiview,2000,2004,Togiak,1_2,87,53.69906802297311
multiview,2001,2005,Togiak,1_2,63,177.58906652945433
multiview,2002,2006,Togiak,1_2,241,126.87732954178513
multiview,2003,2007,Togiak,1_2,245,192.1948413365746
multiview,2004,2008,Togiak,1_2,109,179.5152939878293
multiview,2005,2009,Togiak,1_2,302,114.39292903927038
multiview,2006,2010,Togiak,1_2,261,164.2145863783018
multiview,2007,2011,Togiak,1_2,164,100.22038131172238
multiview,1985,1990,Togiak,1_3,194,109.97066793108341
multiview,1986,1991,Togiak,1_3,445,288.1699585965529
multiview,1987,1992,Togiak,1_3,575,382.0808282070857
multiview,1988,1993,Togiak,1_3,403,513.7839455422815
multiview,1989,1994,Togiak,1_3,328,333.2573408466474
multiview,1990,1995,Togiak,1_3,460,142.65611619999413
multiview,1991,1996,Togiak,1_3,429,505.9627735503335
multiview,1992,1997,Togiak,1_3,124,161.1963752289719
multiview,1993,1998,Togiak,1_3,229,164.46157010375333
multiview,1994,1999,Togiak,1_3,167,173.59405494585206
multiview,1995,2000,Togiak,1_3,1010,615.8154173954089
multiview,1996,2001,Togiak,1_3,987,320.90548267347674
multiview,1997,2002,Togiak,1_3,305,103.12396866533152
multiview,1998,2003,Togiak,1_3,633,272.9519154441268
multiview,1999,2004,Togiak,1_3,290,476.7037915780437
multiview,2000,2005,Togiak,1_3,318,328.93810682144914
multiview,2001,2006,Togiak,1_3,410,468.71820986657895
multiview,2002,2007,Togiak,1_3,727,476.95719976347993
multiview,2003,2008,Togiak,1_3,744,581.624422864859
multiview,2004,2009,Togiak,1_3,483,404.37754055408334
multiview,2005,2010,Togiak,1_3,372,491.2331858998632
multiview,2006,2011,Togiak,1_3,618,570.7428823464348
multiview,1985,1990,Togiak,2_2,35,11.470367157181215
multiview,1986,1991,Togiak,2_2,83,48.284903515927624
multiview,1987,1992,Togiak,2_2,31,59.426594398779685
multiview,1988,1993,Togiak,2_2,34,38.012531918710465
multiview,1989,1994,Togiak,2_2,7,25.44260329120803
multiview,1990,1995,Togiak,2_2,75,17.012921234793254
multiview,1991,1996,Togiak,2_2,28,34.3465325997137
multiview,1992,1997,Togiak,2_2,33,13.39477300000388
multiview,1993,1998,Togiak,2_2,6,36.18857400507514
multiview,1994,1999,Togiak,2_2,31,43.02360681970694
multiview,1995,2000,Togiak,2_2,11,30.506592139982473
multiview,1996,2001,Togiak,2_2,4,10.826173369531972
multiview,1997,2002,Togiak,2_2,16,31.046168479442002
multiview,1998,2003,Togiak,2_2,24,23.812020009035166
multiview,1999,2004,Togiak,2_2,29,28.91307622491655
multiview,2000,2005,Togiak,2_2,141,26.668721749948133
multiview,2001,2006,Togiak,2_2,90,80.57534617521534
multiview,2002,2007,Togiak,2_2,25,23.705848380411027
multiview,2003,2008,Togiak,2_2,8,51.32084202360002
multiview,2004,2009,Togiak,2_2,47,20.020239028232794
multiview,2005,2010,Togiak,2_2,65,45.736884985516554
multiview,2006,2011,Togiak,2_2,45,65.37685780896877
multiview,1984,1990,Togiak,2_3,17,21.376064121353636
multiview,1985,1991,Togiak,2_3,77,38.049639766802244
multiview,1986,1992,Togiak,2_3,121,43.15168667569128
multiview,1987,1993,Togiak,2_3,81,36.04391776589776
multiview,1988,1994,Togiak,2_3,53,49.55984271108895
multiview,1989,1995,Togiak,2_3,41,40.74830945139135
multiview,1990,1996,Togiak,2_3,37,39.34656952765431
multiview,1991,1997,Togiak,2_3,29,20.584968968098536
multiview,1992,1998,Togiak,2_3,30,26.14510352241956
multiview,1993,1999,Togiak,2_3,15,12.257567276747011
multiview,1994,2000,Togiak,2_3,8,29.19448759146539
multiview,1995,2001,Togiak,2_3,66,48.817600343937585
multiview,1996,2002,Togiak,2_3,21,16.077916900853694
multiview,1997,2003,Togiak,2_3,87,18.042265837480755
multiview,1998,2004,Togiak,2_3,91,42.12761271059958
multiview,1999,2005,Togiak,2_3,50,60.192809064483924
multiview,2000,2006,Togiak,2_3,152,49.647922144633924
multiview,2001,2007,Togiak,2_3,62,77.04104989388964
multiview,2002,2008,Togiak,2_3,19,43.600868014110546
multiview,2003,2009,Togiak,2_3,13,34.926231681878136
multiview,2004,2010,Togiak,2_3,40,37.86196956037051
multiview,2005,2011,Togiak,2_3,32,33.03323307761235
multiview,1984,1990,Igushik,2_3,16.0330906515222,24.957067489270884
multiview,1985,1990,Igushik,1_3,639.187667843652,574.161219591184
multiview,1985,1990,Igushik,2_2,50.115516454388,215.02836474640574
multiview,1985,1991,Igushik,2_3,41.1596814807239,26.390664854784177
multiview,1986,1990,Igushik,1_2,157.348044964435,162.8476584470602
multiview,1986,1991,Igushik,1_3,1497.27524200159,516.0808598561445
multiview,1986,1991,Igushik,2_2,9.44527791610853,8.869974375566244
multiview,1986,1992,Igushik,2_3,15.5204950934021,26.135360669883397
multiview,1987,1991,Igushik,1_2,75.5878467581789,25.115970672013816
multiview,1987,1992,Igushik,1_3,338.280673118261,637.5638706331487
multiview,1987,1992,Igushik,2_2,2.14456089346305,17.694554373771894
multiview,1987,1993,Igushik,2_3,9.62649788143917,8.399445841877423
multiview,1988,1992,Igushik,1_2,105.973281997585,294.81979734843674
multiview,1988,1993,Igushik,1_3,479.542117997172,333.01724341854117
multiview,1988,1993,Igushik,2_2,5.733940598463,43.17192079719783
multiview,1988,1994,Igushik,2_3,21.8981674731482,14.691291050731053
multiview,1989,1993,Igushik,1_2,213.200354151432,272.0742333023059
multiview,1989,1994,Igushik,1_3,693.503072953698,516.3628523432768
multiview,1989,1994,Igushik,2_2,48.4540404572186,136.10447762654616
multiview,1989,1995,Igushik,2_3,28.2931452415438,19.065885993517185
multiview,1990,1994,Igushik,1_2,138.197883361157,390.6853756402968
multiview,1990,1995,Igushik,1_3,883.940866873795,689.8687519959775
multiview,1990,1995,Igushik,2_2,95.1347841836071,10.96405070712862
multiview,1990,1996,Igushik,2_3,106.710011329751,41.649132539699934
multiview,1991,1995,Igushik,1_2,170.952823657194,268.64222379576375
multiview,1991,1996,Igushik,1_3,798.731025340402,659.6803401430701
multiview,1991,1996,Igushik,2_2,2.06511765559716,21.915091738286975
multiview,1991,1997,Igushik,2_3,8.82052766679834,24.460611933658214
multiview,1992,1996,Igushik,1_2,30.0182271236571,265.9984582035065
multiview,1992,1997,Igushik,1_3,91.7137599861677,728.9840930490467
multiview,1992,1997,Igushik,2_2,5.33491141250786,11.54865022964745
multiview,1992,1998,Igushik,2_3,9.18665914115653,9.671461076677645
multiview,1993,1997,Igushik,1_2,100.425513591718,109.54701628980506
multiview,1993,1998,Igushik,1_3,239.150727432154,116.41678479707744
multiview,1993,1998,Igushik,2_2,13.7366722076451,9.174599748521018
multiview,1993,1999,Igushik,2_3,4.86150558390441,14.009952155791325
multiview,1994,1998,Igushik,1_2,163.636987936597,16.920924413649686
multiview,1994,1999,Igushik,1_3,435.418545791522,418.22822242894273
multiview,1994,1999,Igushik,2_2,42.9758617437235,23.76055150005442
multiview,1994,2000,Igushik,2_3,16.9204750836216,18.53066789455619
multiview,1995,1999,Igushik,1_2,376.061832221647,360.4205917781406
multiview,1995,2000,Igushik,1_3,881.255914116359,468.61078065220204
multiview,1995,2000,Igushik,2_2,6.53107891277216,141.1439339944617
multiview,1995,2001,Igushik,2_3,8.44629844349383,31.55404112317595
multiview,1996,2000,Igushik,1_2,77.0318964232781,200.74664520149616
multiview,1996,2001,Igushik,1_3,800.392988632161,928.483335410097
multiview,1996,2001,Igushik,2_2,0.807341147153337,7.689465409054122
multiview,1996,2002,Igushik,2_3,5.3439703450639,6.9123393046427
multiview,1997,2001,Igushik,1_2,1.92656180904292,74.03649432734923
multiview,1997,2002,Igushik,1_3,51.6683298701699,615.7275146678077
multiview,1997,2002,Igushik,2_2,9.52201187852342,10.88969587651306
multiview,1997,2003,Igushik,2_3,33.1714824104477,10.663477831102085
multiview,1998,2002,Igushik,1_2,130.362457260891,256.29447849952203
multiview,1998,2003,Igushik,1_3,393.266109393025,189.12426687075833
multiview,1998,2003,Igushik,2_2,2.90678967415879,9.7245135620839
multiview,1998,2004,Igushik,2_3,7.52051287614494,19.78255625826492
multiview,1999,2003,Igushik,1_2,60.8524256849945,62.92700821912854
multiview,1999,2004,Igushik,1_3,146.839968080134,510.28502437611894
multiview,1999,2004,Igushik,2_2,58.3924637090693,85.16025777756127
multiview,1999,2005,Igushik,2_3,96.3363790393421,26.07796751909916
multiview,2000,2004,Igushik,1_2,53.302668283195,189.78764331512943
multiview,2000,2005,Igushik,1_3,660.546341476364,200.35517041087044
multiview,2000,2005,Igushik,2_2,12.3772904288214,22.507219923641145
multiview,2000,2006,Igushik,2_3,38.1681560257532,22.627874681628896
multiview,2001,2005,Igushik,1_2,31.82731825472,49.014233839186005
multiview,2001,2006,Igushik,1_3,442.819634474873,702.7605386450424
multiview,2001,2006,Igushik,2_2,7.80161810371995,22.121052642036716
multiview,2001,2007,Igushik,2_3,4.36048612137021,24.1760169161835
multiview,2002,2006,Igushik,1_2,235.17232722565,71.68610169148681
multiview,2002,2007,Igushik,1_3,202.313468254466,147.52143846512945
multiview,2002,2007,Igushik,2_2,40.5684355266669,11.038705219421331
multiview,2002,2008,Igushik,2_3,11.80792863409,25.984248596606704
multiview,2003,2007,Igushik,1_2,772.529875114685,309.4601764419033
multiview,2003,2008,Igushik,1_3,1273.52914699582,446.6759809039122
multiview,2003,2008,Igushik,2_2,2.01644191043646,51.64120865124485
multiview,2003,2009,Igushik,2_3,38.9272861344,10.413100199952908
multiview,2004,2008,Igushik,1_2,596.206422901516,303.20496192517095
multiview,2004,2009,Igushik,1_3,1202.30941578869,683.7651455650787
