model,brood_year,return_year,system,age_group,observed_returns,predicted_returns
rand_forest,1985,1990,Egegik,2_2,4020.18286056915,2124.000305820495
boost_tree,1985,1990,Egegik,2_2,4020.18286056915,1170.3260242938995
rand_forest,1986,1991,Egegik,2_2,4062.14544830156,2418.6444018887432
boost_tree,1986,1991,Egegik,2_2,4062.14544830156,1712.0252549648285
rand_forest,1987,1992,Egegik,2_2,8870.95678766811,2970.0776492285327
boost_tree,1987,1992,Egegik,2_2,8870.95678766811,3616.209626197815
rand_forest,1988,1993,Egegik,2_2,11121.3183761393,4740.461479666495
boost_tree,1988,1993,Egegik,2_2,11121.3183761393,5227.809548377991
rand_forest,1989,1994,Egegik,2_2,5179.38621914642,6184.457525652708
boost_tree,1989,1994,Egegik,2_2,5179.38621914642,7359.122633934021
rand_forest,1990,1995,Egegik,2_2,8809.8546504351,7061.206645297391
boost_tree,1990,1995,Egegik,2_2,8809.8546504351,8230.924010276794
rand_forest,1991,1996,Egegik,2_2,3223.46605149961,6150.074006035806
boost_tree,1991,1996,Egegik,2_2,3223.46605149961,5993.094444274902
rand_forest,1992,1997,Egegik,2_2,4580.34254383062,6582.21916474406
boost_tree,1992,1997,Egegik,2_2,4580.34254383062,5199.9711990356445
rand_forest,1993,1998,Egegik,2_2,800.145243182579,4525.619167569911
boost_tree,1993,1998,Egegik,2_2,800.145243182579,3252.8671622276306
rand_forest,1994,1999,Egegik,2_2,3805.46874727158,7480.61245213113
boost_tree,1994,1999,Egegik,2_2,3805.46874727158,5419.700741767883
rand_forest,1995,2000,Egegik,2_2,1726.75027502771,3233.9580125310717
boost_tree,1995,2000,Egegik,2_2,1726.75027502771,2758.774161338806
rand_forest,1996,2001,Egegik,2_2,542.540181669639,3215.5051068697003
boost_tree,1996,2001,Egegik,2_2,542.540181669639,2149.643748998642
rand_forest,1997,2002,Egegik,2_2,3493.43096881301,3261.808380688579
boost_tree,1997,2002,Egegik,2_2,3493.43096881301,3730.7605147361755
rand_forest,1998,2003,Egegik,2_2,490.761355957571,3435.314170317811
boost_tree,1998,2003,Egegik,2_2,490.761355957571,1617.6912188529968
rand_forest,1999,2004,Egegik,2_2,9206.9936917785,4429.047046313215
boost_tree,1999,2004,Egegik,2_2,9206.9936917785,4872.202277183533
rand_forest,2000,2005,Egegik,2_2,3546.27131298221,3258.7397841073525
boost_tree,2000,2005,Egegik,2_2,3546.27131298221,3442.830443382263
rand_forest,2001,2006,Egegik,2_2,1585.9566102893898,3298.7233231926107
boost_tree,2001,2006,Egegik,2_2,1585.9566102893898,3452.2494673728943
rand_forest,2002,2007,Egegik,2_2,1050.68228676067,2916.4561925787493
boost_tree,2002,2007,Egegik,2_2,1050.68228676067,2328.035831451416
rand_forest,2003,2008,Egegik,2_2,1926.40878969996,2434.3852293097
boost_tree,2003,2008,Egegik,2_2,1926.40878969996,3445.076644420624
rand_forest,2004,2009,Egegik,2_2,6022.979238819169,2669.0950386212826
boost_tree,2004,2009,Egegik,2_2,6022.979238819169,3266.6268944740295
rand_forest,2005,2010,Egegik,2_2,2866.20143686753,2637.3687112458183
boost_tree,2005,2010,Egegik,2_2,2866.20143686753,2197.118252515793
rand_forest,2006,2011,Egegik,2_2,1632.02724427534,7375.386200579729
boost_tree,2006,2011,Egegik,2_2,1632.02724427534,7464.010119438171
rand_forest,2007,2012,Egegik,2_2,3376.16128927992,4742.314821397473
boost_tree,2007,2012,Egegik,2_2,3376.16128927992,6396.855711936951
rand_forest,2008,2013,Egegik,2_2,1104.56344686744,3391.218385848689
boost_tree,2008,2013,Egegik,2_2,1104.56344686744,2546.3125109672546
rand_forest,2009,2014,Egegik,2_2,2761.97078143254,3886.521658222095
boost_tree,2009,2014,Egegik,2_2,2761.97078143254,4606.95743560791
rand_forest,2010,2015,Egegik,2_2,5985.04356346989,3237.0514933027134
boost_tree,2010,2015,Egegik,2_2,5985.04356346989,3520.214557647705
rand_forest,2011,2016,Egegik,2_2,3901.9376373978,4254.179614950879
boost_tree,2011,2016,Egegik,2_2,3901.9376373978,7071.969509124756
rand_forest,2012,2017,Egegik,2_2,4775.92540722803,3380.718298618621
boost_tree,2012,2017,Egegik,2_2,4775.92540722803,3861.558437347412
rand_forest,2013,2018,Egegik,2_2,467.77994524718,3345.7087040049073
boost_tree,2013,2018,Egegik,2_2,467.77994524718,2522.7653980255127
rand_forest,2014,2019,Egegik,2_2,1280.26421524663,3112.125059311343
boost_tree,2014,2019,Egegik,2_2,1280.26421524663,3573.395609855652
rand_forest,2015,2020,Egegik,2_2,993.180676330513,2625.5008267721787
boost_tree,2015,2020,Egegik,2_2,993.180676330513,2512.5470757484436
rand_forest,2016,2021,Egegik,2_2,2173.71680883009,2434.2569078646807
boost_tree,2016,2021,Egegik,2_2,2173.71680883009,2033.5781574249268
rand_forest,1985,1990,Igushik,2_2,50.115516454388,66.27979723448149
boost_tree,1985,1990,Igushik,2_2,50.115516454388,57.327416725456715
rand_forest,1986,1991,Igushik,2_2,9.44527791610853,60.374549896004936
boost_tree,1986,1991,Igushik,2_2,9.44527791610853,57.06983618438244
rand_forest,1987,1992,Igushik,2_2,2.14456089346305,59.934608849570786
boost_tree,1987,1992,Igushik,2_2,2.14456089346305,55.427621118724346
rand_forest,1988,1993,Igushik,2_2,5.733940598463,73.85004604344363
boost_tree,1988,1993,Igushik,2_2,5.733940598463,79.28421720862389
rand_forest,1989,1994,Igushik,2_2,48.4540404572186,50.57640924087315
boost_tree,1989,1994,Igushik,2_2,48.4540404572186,52.105807699263096
rand_forest,1990,1995,Igushik,2_2,95.1347841836071,60.377776742443906
boost_tree,1990,1995,Igushik,2_2,95.1347841836071,51.99167877435684
rand_forest,1991,1996,Igushik,2_2,2.06511765559716,44.137499108391836
boost_tree,1991,1996,Igushik,2_2,2.06511765559716,53.29903680831194
rand_forest,1992,1997,Igushik,2_2,5.33491141250786,56.44237766687164
boost_tree,1992,1997,Igushik,2_2,5.33491141250786,51.79215222597122
rand_forest,1993,1998,Igushik,2_2,13.7366722076451,37.924018707934195
boost_tree,1993,1998,Igushik,2_2,13.7366722076451,38.526044227182865
rand_forest,1994,1999,Igushik,2_2,42.9758617437235,50.634348540855264
boost_tree,1994,1999,Igushik,2_2,42.9758617437235,46.30226641893387
rand_forest,1995,2000,Igushik,2_2,6.53107891277216,26.772074114385216
boost_tree,1995,2000,Igushik,2_2,6.53107891277216,5.989008350297809
rand_forest,1996,2001,Igushik,2_2,0.8073411471533369,28.943923382685867
boost_tree,1996,2001,Igushik,2_2,0.8073411471533369,4.556200874503702
rand_forest,1997,2002,Igushik,2_2,9.52201187852342,18.050435756042614
boost_tree,1997,2002,Igushik,2_2,9.52201187852342,0
rand_forest,1998,2003,Igushik,2_2,2.90678967415879,32.073494962497186
boost_tree,1998,2003,Igushik,2_2,2.90678967415879,15.422186115756631
rand_forest,1999,2004,Igushik,2_2,58.3924637090693,40.33976158701338
boost_tree,1999,2004,Igushik,2_2,58.3924637090693,61.5366967394948
rand_forest,2000,2005,Igushik,2_2,12.3772904288214,25.55626824918569
boost_tree,2000,2005,Igushik,2_2,12.3772904288214,45.314980670809746
rand_forest,2001,2006,Igushik,2_2,7.80161810371995,28.902375044674223
boost_tree,2001,2006,Igushik,2_2,7.80161810371995,0
rand_forest,2002,2007,Igushik,2_2,40.5684355266669,34.81875454176566
boost_tree,2002,2007,Igushik,2_2,40.5684355266669,25.14418913051486
rand_forest,2003,2008,Igushik,2_2,2.01644191043646,14.72093945431057
boost_tree,2003,2008,Igushik,2_2,2.01644191043646,4.8154350952245295
rand_forest,2004,2009,Igushik,2_2,16.9992444411081,32.953074544171734
boost_tree,2004,2009,Igushik,2_2,16.9992444411081,72.95351941138506
rand_forest,2005,2010,Igushik,2_2,28.673866372149003,17.457782645189177
boost_tree,2005,2010,Igushik,2_2,28.673866372149003,4.841151530854404
rand_forest,2006,2011,Igushik,2_2,18.501216883357,58.633646818767986
boost_tree,2006,2011,Igushik,2_2,18.501216883357,23.066038265824318
rand_forest,2007,2012,Igushik,2_2,16.1280576908381,35.32446721086453
boost_tree,2007,2012,Igushik,2_2,16.1280576908381,64.3301010131836
rand_forest,2008,2013,Igushik,2_2,38.3974431203571,19.958216149260945
boost_tree,2008,2013,Igushik,2_2,38.3974431203571,12.492398964241147
rand_forest,2009,2014,Igushik,2_2,56.1127447838291,32.02317955110639
boost_tree,2009,2014,Igushik,2_2,56.1127447838291,35.518251825124025
rand_forest,2010,2015,Igushik,2_2,0.500258412644892,52.16989387366168
boost_tree,2010,2015,Igushik,2_2,0.500258412644892,38.345076609402895
rand_forest,2011,2016,Igushik,2_2,11.1645868371735,47.648843834841216
boost_tree,2011,2016,Igushik,2_2,11.1645868371735,27.6201032102108
rand_forest,2012,2017,Igushik,2_2,4.05031401456347,23.715424843163124
boost_tree,2012,2017,Igushik,2_2,4.05031401456347,36.95477033033967
rand_forest,2013,2018,Igushik,2_2,0.678267913907289,16.308215030424996
boost_tree,2013,2018,Igushik,2_2,0.678267913907289,36.0023183748126
rand_forest,2014,2019,Igushik,2_2,5.345267450905079,20.991709412440073
boost_tree,2014,2019,Igushik,2_2,5.345267450905079,31.012468971312046
rand_forest,2015,2020,Igushik,2_2,8.17685129732453,19.846447221096906
boost_tree,2015,2020,Igushik,2_2,8.17685129732453,23.127070162445307
rand_forest,2016,2021,Igushik,2_2,11.6124193852638,6.655250172709515
boost_tree,2016,2021,Igushik,2_2,11.6124193852638,31.320082489401102
rand_forest,1985,1990,Kvichak,2_2,14851.620699462599,4727.561994657376
boost_tree,1985,1990,Kvichak,2_2,14851.620699462599,8350.632190704346
rand_forest,1986,1991,Kvichak,2_2,1539.42385730161,4179.901406181246
boost_tree,1986,1991,Kvichak,2_2,1539.42385730161,0
rand_forest,1987,1992,Kvichak,2_2,4276.08575760363,10053.392158313185
boost_tree,1987,1992,Kvichak,2_2,4276.08575760363,11882.859468460083
rand_forest,1988,1993,Kvichak,2_2,3698.33732271235,6938.082549450243
boost_tree,1988,1993,Kvichak,2_2,3698.33732271235,3628.038763999939
rand_forest,1989,1994,Kvichak,2_2,18335.3888386841,12521.826113710995
boost_tree,1989,1994,Kvichak,2_2,18335.3888386841,14175.194501876831
rand_forest,1990,1995,Kvichak,2_2,22046.413943430896,13532.76343759427
boost_tree,1990,1995,Kvichak,2_2,22046.413943430896,22584.90562438965
rand_forest,1991,1996,Kvichak,2_2,1008.51573343956,8959.781144914861
boost_tree,1991,1996,Kvichak,2_2,1008.51573343956,0
rand_forest,1992,1997,Kvichak,2_2,751.845117502997,4903.0463309379775
boost_tree,1992,1997,Kvichak,2_2,751.845117502997,0
rand_forest,1993,1998,Kvichak,2_2,683.9194112905151,5298.171854114995
boost_tree,1993,1998,Kvichak,2_2,683.9194112905151,1089.622601866722
rand_forest,1994,1999,Kvichak,2_2,3920.26054867729,16852.595938655875
boost_tree,1994,1999,Kvichak,2_2,3920.26054867729,24477.858543395996
rand_forest,1995,2000,Kvichak,2_2,677.133031946363,8502.211324114323
boost_tree,1995,2000,Kvichak,2_2,677.133031946363,6625.49614906311
rand_forest,1996,2001,Kvichak,2_2,24.302420013975,3023.421458062986
